genename,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
fis,7898.442899,9387.255049,8823.340466,4814.284119,4604.64238,3463.938573,3910.076451,4401.475971,8679.574392,9046.612621,7206.50874,4754.895022,4689.001202,4441.406995,11723.46299,3524.633074,11755.25804,15063.85829,6134.781635,3904.908351,4813.104586,4563.493019,3927.43082,2835.261839
rob,232.0614305,235.9346704,564.2486803,490.9087389,543.4721963,378.5964965,615.9064378,561.7794373,210.8801163,226.5240087,441.8182614,511.3452975,618.6357539,609.2520462,180.6755429,506.4145406,296.4651914,189.6417511,660.3096104,601.7573367,776.4107495,877.7666805,800.4530731,661.1606379
tyrR,141.7312829,133.3879215,321.1495797,226.4765605,286.9641885,238.4440606,342.3372735,357.4994108,132.9894626,129.991658,293.8453129,271.826184,310.2933605,305.9245362,114.4563827,338.3001769,170.3642115,127.4038923,404.2977883,274.9322779,348.7853933,386.5443107,347.8303384,671.9148398
argP,86.29439346,83.1607049,117.276468,79.88796391,75.80641964,74.22170034,95.67543794,93.7368197,89.54690663,98.22174056,112.8513151,97.19151087,83.27750217,87.13735762,96.7750352,69.97474807,123.4129517,131.3911986,127.1276253,86.23781428,90.99361251,88.55287441,90.75629962,107.0379382
cpxR,41.0340195,42.90627363,46.37953353,27.65216899,31.23371948,21.91966403,41.03926685,40.90350252,39.79173729,43.13696149,43.70148303,26.29221315,29.67359413,29.32566735,40.84713011,29.41884673,47.98967312,39.14361849,35.9881285,32.63596666,32.29994403,39.09714454,32.95344674,44.68280202
modE,435.0921406,512.1933866,404.3021911,258.5056735,298.0362766,347.9115841,385.6586064,407.9635449,505.2881586,596.1509272,372.2554438,328.4388977,405.197786,466.2297066,932.6324021,337.9709303,748.9142548,859.9431472,472.7351272,483.9671981,525.2397763,504.2239021,491.7514771,248.7902552
fnr,276.1964262,279.3883662,164.5018756,132.8590562,156.4710776,127.9715134,222.7387614,177.0627653,272.9874659,266.9130268,164.4134204,165.3928353,126.646615,113.3332521,194.1034243,141.0688741,267.0756325,228.4342315,171.5583829,112.5455948,122.2460744,146.5252141,124.5726441,178.3976606
crp,337.6242718,288.5506596,734.7260216,512.1718383,412.4622464,277.8726954,382.1268058,274.9442416,291.9218462,349.5106172,693.6675955,579.7788807,511.6890356,434.0541803,211.9228086,269.0634263,399.9787813,352.9330107,815.3497012,362.7884367,458.6875466,475.8898509,410.4237989,271.8965529
cadC,3.711871183,4.20573544,1.879587511,4.161928557,2.036680511,3.647839089,1.658596608,1.816745173,6.271223626,3.554364963,2.267438049,4.79647264,4.447553042,4.763081147,2.470440403,8.197580376,2.903974993,5.491594147,2.423384571,0.717348968,3.616412577,1.399993332,3.189838888,1.294119861
nac,114.82279,132.750808,56.28748115,39.13548149,43.94110176,37.33307347,45.01032906,54.29153976,161.3527906,202.8454425,47.58300872,41.43905659,56.08322347,48.13831889,51.8502187,41.95993264,203.1913546,168.1498888,56.72956527,45.46831544,52.83493058,58.1514481,51.99126999,46.99639853
hns,499.0966983,414.4457341,918.7417769,644.5473177,619.0865152,476.2600869,539.2377944,505.1780524,387.9113117,423.7150209,822.4133805,928.9473036,1038.510123,882.0809735,125.4536736,697.3974563,689.0662681,403.6003592,1813.938345,678.6711347,938.6689876,1090.626586,928.3863172,706.5292115
soxS,21.01130122,15.4911002,21.09670382,20.98950371,15.17396956,19.5405757,14.275834,11.90098603,13.05040867,10.25767033,21.68004047,18.88947892,11.27125065,16.17135735,8.487018805,7.036648596,8.214612228,6.380663124,16.41259535,17.66572431,11.4027159,10.63219884,17.8327461,18.73947962
oxyR,12005.21431,11800.41809,13939.9642,12414.44747,13872.80251,11662.70374,12529.64979,16551.39376,12755.12811,13637.90405,15156.21996,16317.32531,18971.21128,18959.74038,34645.74364,13906.39397,20692.72526,18746.47153,19175.51561,19557.88506,22381.01253,23452.17095,21041.61952,15455.80232
phoB,762.6764362,731.342192,5730.287438,3115.338433,3522.446941,2727.008043,3568.127976,4744.213564,638.3898562,669.6093702,9360.724826,3840.076332,3540.73569,5080.040741,1222.948036,3749.921547,690.4132539,769.2299827,7913.745402,3817.637898,4521.417923,3856.159558,3412.412576,3284.945296
cysB,1068.393799,1224.068146,1470.449828,1133.890036,1595.928374,1320.237566,2178.772831,2299.742341,1267.622502,1344.079931,1437.968588,1548.431793,2287.995125,2421.387375,2519.826436,2089.454032,2069.688905,2680.815601,1741.97625,1747.247348,2373.947016,2393.846878,2330.055435,1799.69175
rcsB,263.9475986,232.9028543,224.9358093,195.1791874,294.3077948,162.751492,261.3744551,251.0847358,272.8159869,299.8914936,185.6209409,206.4421067,262.9987792,256.95445,231.4332893,238.812274,407.2001476,275.9947529,270.2828073,228.2019954,300.0879123,300.9620994,292.2193835,261.3690051
