name,ids
fis,0
rob,1
tyrR,2
argP,3
cpxR,4
modE,5
fnr,6
crp,7
cadC,8
nac,9
hns,10
soxS,11
oxyR,12
phoB,13
cysB,14
rcsB,15
lrhA,16
arcA,17
fabR,18
nhaR,19
lrp,20
hyfR,21
fhlA,22
pspF,23
treR,24
marA,25
iscR,26
glcC,27
gadX,28
gadW,29
mhpR,30
rtcR,31
phoP,32
narL,33
narP,34
paaX,35
evgA,36
mprA,37
argR,38
envY,39
fadR,40
sdiA,41
iclR,42
dnaA,43
nagC,44
norR,45
cusR,46
mngR,47
cdaR,48
zur,49
putA,50
chbR,51
gadE,52
gntR,53
idnR,54
exuR,55
uxuR,56
uidR,57
ulaR,58
trpR,59
malT,60
pdhR,61
hdfR,62
slyA,63
qseB,64
ydeO,65
araC,66
rhaS,67
melR,68
cytR,69
gcvA,70
torR,71
agaR,72
nanR,73
ada,74
birA,75
deoR,76
galS,77
galR,78
glpR,79
lacI,80
lexA,81
metR,82
purR,83
rhaR,84
ilvY,85
alpA,86
appY,87
asnC,88
atoC,89
betI,90
cspA,91
cynR,92
dsdC,93
ebgR,94
fucR,95
gutM,96
srlR,97
leuO,98
lysR,99
marR,100
nadR,101
rbsR,102
soxR,103
tdcA,104
tdcR,105
csgD,106
malI,107
yeiL,108
cbl,109
xapR,110
xylR,111
caiF,112
lldR,113
zraR,114
adiY,115
prpR,116
hcaR,117
kdgR,118
allR,119
lsrR,120
baeR,121
dhaR,122
acrR,123
pepA,124
ascG,125
hipB,126
feaR,127
dicA,128
bolA,129
alaS,130
arsR,131
sgrR,132
rstA,133
stpA,134
creB,135
envR,136
relB,137
ygiV,138
yqhC,139
mlrA,140
aidB,141
yefM,142
fliZ,143
basR,144
puuR,145
mraZ,146
yebK,147
yjjQ,148
uvrY,149
yhaJ,150
frmR,151
glnG,152
ompR,153
racR,154
dgoR,155
fur,156
accB,157
dcuR,158
ycjW,159
kdpE,160
uhpA,161
cueR,162
ydcI,163
nikR,164
zntR,165
mntR,166
frlR,167
metJ,168
aaeR,169
yfeC,170
yidZ,171
yciT,172
ygbI,173
rpoN,174
adhE,175
osmE,176
ansB,177
apaG,178
apaH,179
bglB,180
bglF,181
bglG,182
carA,183
carB,184
cyoA,185
cyoB,186
cyoC,187
cyoD,188
cyoE,189
cysG,190
deoA,191
deoB,192
deoC,193
deoD,194
dmsA,195
dmsB,196
dmsC,197
dnaN,198
fadA,199
fadB,200
fumB,201
glnA,202
glnL,203
glnQ,204
glpA,205
glpB,206
glpC,207
glpQ,208
glpT,209
gltX,210
guaA,211
guaB,212
gyrA,213
gyrB,214
hupA,215
hupB,216
hyaA,217
hyaB,218
hyaC,219
hyaD,220
hyaE,221
hyaF,222
infB,223
katE,224
lpd,225
malE,226
malF,227
malG,228
mazG,229
mglA,230
mglC,231
mtlA,232
mtlD,233
nanA,234
narG,235
narH,236
narI,237
narJ,238
narK,239
ndh,240
nirB,241
nirC,242
nirD,243
nrdA,244
nrdB,245
nusA,246
ogt,247
pdxA,248
pflB,249
pnp,250
ptsG,251
pyrD,252
queA,253
recF,254
rplM,255
rpsI,256
rpsO,257
topA,258
tpr,259
trg,260
trmA,261
tufB,262
truB,263
rbfA,264
dusB,265
osmY,266
dps,267
msrA,268
acs,269
gadB,270
sra,271
marB,272
proP,273
emrD,274
nuoM,275
nuoF,276
nrfA,277
actP,278
yjcH,279
nrfB,280
nrfC,281
nrfD,282
nrfE,283
nrfF,284
nrfG,285
mtlR,286
nuoA,287
nuoB,288
nuoC,289
nuoE,290
nuoG,291
nuoH,292
nuoI,293
nuoJ,294
nuoK,295
nuoL,296
nuoN,297
cbpA,298
cbpM,299
xylG,300
xylH,301
aldB,302
acnB,303
yfaE,304
xylF,305
alaT,306
alaU,307
alaV,308
alaW,309
alaX,310
argU,311
argW,312
argX,313
aspV,314
glnU,315
glnV,316
glnW,317
glnX,318
gltT,319
gltU,320
gltV,321
gltW,322
glyT,323
glyU,324
hisR,325
ileT,326
ileU,327
ileV,328
leuP,329
leuQ,330
leuT,331
leuV,332
leuW,333
