genename,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep1_T9,rep1_T10,rep1_T11,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep2_T9,rep2_T10,rep2_T11,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8,rep3_T9,rep3_T10,rep3_T11
fis,28172.42471,20968.4525,23754.84764,2673.808217,5576.9178,3300.786252,4299.00216,29778.58796,19512.57812,3512.824929,3382.888855,21030.28687,11314.56148,6803.496273,1899.878288,2158.843789,671.0236866,737.1719869,10498.39773,9479.864924,1523.248355,1534.857177,8444.46024,23939.48938,5305.068895,884.9580513,5388.066356,3295.738717,5626.107004,19479.36231,8193.179252,3189.625533,1171.532835
rob,737.1820175,555.4085394,554.0123291,1445.269579,1057.848158,738.8167622,1023.522381,546.1118127,540.348192,1041.08439,1341.237858,775.8913641,780.5667339,515.394721,300.5021574,715.305449,257.0946162,313.5961492,353.0551664,345.1754398,260.7078831,1721.816691,253.3767801,660.0856402,614.3954919,258.2373777,930.7971777,1484.618549,196.2484991,309.1744755,257.4786522,496.38302,240.4143728
tyrR,323.6031037,270.4908912,283.8407279,430.0127032,422.0469973,338.0074323,323.5800765,277.6331336,341.8150244,285.3210166,281.5057112,437.7744194,571.5853253,689.8289818,299.7936699,385.2005218,308.6891956,235.5086394,318.0258576,281.2285674,310.3879023,642.2894915,270.3293389,490.9305629,417.1577352,236.1971092,548.7979034,617.9355526,291.2037126,278.3936673,295.5605494,307.6805097,261.3674259
argP,273.088612,217.8522405,205.7748687,240.0503325,331.1736652,276.1936909,285.7179329,184.8131522,247.2987459,133.7760152,128.3306071,426.2836807,406.6557553,339.5071299,293.1828388,480.9446995,301.9917803,336.7666324,298.6085442,307.1528722,313.4013278,330.3074755,275.1720961,414.9330631,390.6263349,293.3160886,548.9846087,551.0183048,254.807183,290.1460305,242.3744495,288.1176149,246.6371215
cpxR,118.2737111,61.01337559,69.70641284,52.71932322,53.00232034,75.25826812,94.24143787,84.80747986,106.3075603,71.74933288,88.09386824,160.8152308,158.4598575,186.3459376,11.3343285,102.421665,6.437556973,16.40476729,46.07114145,34.27654814,7.313036264,275.993631,16.86585727,117.061571,77.76340164,7.34247939,168.5850916,215.2220835,7.525019188,43.97612765,13.74781659,42.34663029,8.553994275
modE,643.420207,544.7151543,502.7230147,1202.630843,680.1867987,490.4061965,477.9750959,456.6025782,476.9746798,376.6809036,236.3525189,423.0100273,432.6502654,367.8545102,224.203542,286.3173217,217.2012271,300.8168288,254.0091453,274.0873589,184.4541324,156.6477764,233.4456993,424.5444362,423.7904514,272.4302189,536.9099402,435.0296909,246.3815742,270.5211854,215.0323667,192.3369976,150.8259556
fnr,929.7391173,595.6827553,623.4248347,1130.289556,723.6195228,503.4714467,663.3237475,937.8325879,908.9935118,615.6235461,630.11415,1345.340783,1543.21833,1289.482949,555.371641,796.6732816,318.7007694,309.671369,871.4203661,653.955146,496.7130553,1263.090339,511.4939847,1626.944548,1180.973633,298.1741191,883.6933468,1448.346588,365.2352681,687.070058,418.5943993,734.8873271,281.3798765
crp,1251.60939,888.0239126,935.925116,1665.303684,1307.096077,671.552704,1232.807856,842.4853966,999.821022,920.7670878,748.5481254,1369.388038,1530.096807,1189.742519,706.2860815,1358.429886,373.294371,393.0192623,641.5025924,692.8938815,465.1885023,1640.58955,425.9612153,1217.157172,1408.480098,414.4547665,1417.210866,2208.87137,304.378024,599.7101602,427.5340707,721.3802279,323.7675793
cadC,16.75844166,10.28919849,11.38851652,11.52704735,13.058468,7.07620682,16.87648285,12.48545127,15.26839407,12.15916992,17.86044686,20.67399153,17.38048559,13.08697795,3.262445299,5.347782104,4.859597243,8.453931071,3.615143392,4.143268708,3.106366355,15.81105439,3.974026877,20.31971943,6.92623693,3.496692737,9.325282216,19.09082326,5.326603669,4.231233971,3.330034091,3.700349048,4.748364165
nac,47.41959073,69.47141182,92.94444439,107.4236656,86.95395312,68.67402103,63.21499403,74.54593588,93.06359901,101.3473922,97.47549865,101.9815235,100.5594091,104.5395159,98.76146539,51.23085615,104.0175794,97.6857111,65.28502902,65.88291492,1194.95211,30076.00941,64.01571467,152.0127971,66.31390142,81.03784083,103.5936545,91.38750159,97.34336073,69.80977353,61.79583296,72.48815008,104.3319152
hns,1364.398793,681.5548171,683.9986867,632.6873673,879.0838205,578.1106735,886.4696121,711.8394464,1230.961988,1514.867616,2608.268359,493.3061437,469.1239607,376.4162992,98.57779856,275.8405001,64.62244257,71.90108973,136.1473818,264.3173494,89.6345077,1264.212501,125.8361993,522.4968878,288.6813871,63.43660886,495.7566132,517.1057018,65.26344462,312.5824431,162.3498115,192.0726775,131.0251126
soxS,46.57996296,56.56292882,44.60140189,825.7522512,144.016302,180.314469,168.2950355,59.04627973,59.82711565,117.0811819,95.95293471,34.88668244,35.95644836,53.15578469,106.0401752,176.5602657,79.40103128,56.22338037,44.01861996,23.6406357,62.09412006,189.7304741,33.59433743,38.7358933,326.1063123,134.0138462,229.9716369,745.4841389,61.15927436,55.0658746,36.46527366,28.20627472,90.08278177
oxyR,21099.55316,19987.42503,17515.23345,11983.19257,32365.17935,21122.14218,31843.86959,19584.02106,16886.13338,17835.62736,9558.331645,16427.89564,14966.08404,9080.740711,3379.358724,11008.8612,2954.420352,8565.884566,5883.523394,6253.224889,2634.955216,5694.579955,5677.820186,17683.13118,9112.27164,3484.452214,16406.82938,29812.87659,2467.667861,6609.524364,4240.298249,6197.152108,1290.737519
phoB,1382.18283,1285.282516,1267.002996,2662.093108,4626.169889,2296.541717,1903.766692,1134.84178,1369.752764,1440.728175,1756.563313,1218.093781,1232.642368,676.746963,503.0227204,3167.855403,370.6795905,517.0952333,484.5662971,616.3512162,342.0091193,1250.117389,460.2667049,1469.69568,885.5618779,468.7705746,2548.350681,1568.084922,290.8753007,654.3980556,393.3142943,584.3963448,354.6400132
cysB,2479.582925,2136.731462,1994.917624,3130.665898,2616.527925,1442.679908,1654.483901,1859.105562,2112.86065,760.2350765,761.8528553,2606.529502,2299.166222,1670.040548,701.7068114,879.0252458,256.8450907,358.5851336,699.7145798,1002.079876,368.9669943,491.3622601,742.5368705,2053.388855,1819.2977,335.5932397,1525.773002,1183.156478,356.2868992,980.8431184,577.3305443,717.9742859,149.9051911
rcsB,565.5563675,439.198309,486.050256,959.6388191,787.7505779,554.8046204,561.27738,407.8586561,465.7149137,502.0483395,401.4179302,562.7257061,553.1577709,516.8724068,205.1036469,544.7530049,159.3200967,236.9133621,283.3210105,310.4999801,149.6955988,575.712278,238.8972471,678.2638542,520.6250142,229.7055621,718.7763582,924.5987056,154.3631038,314.0642468,183.2214949,245.4825948,136.9214891
lrhA,455.7230569,379.7398987,370.7697599,974.2988838,1209.597208,490.4232173,532.1089862,411.9293792,546.6397036,2287.885699,1734.491396,235.129785,322.0394285,204.1542913,198.0487023,395.8397791,150.1442604,276.7822989,177.6590475,201.6204357,161.7292555,693.2321724,128.5145494,210.6945469,294.7266682,218.3677798,395.5958015,452.9895314,124.7086113,156.5101324,181.8216432,253.8589082,213.8691836
arcA,1897.467259,1464.292716,1389.617095,4835.401223,3847.149744,1933.439397,3215.930151,1565.114789,1843.195931,8092.766091,10015.88876,1087.093793,1341.789758,1146.760162,655.8478229,1721.24925,389.9113285,679.1376616,591.5219344,651.7410898,702.0633163,7933.219105,356.8875263,1238.437192,1588.917753,472.7677346,1889.429147,3836.573928,237.6505277,592.5313207,408.6701551,1990.023328,785.8753568
fabR,331.1824032,246.6545684,245.4767474,445.6900346,483.1036443,340.8178219,294.2878132,319.4115952,367.9605953,277.5437051,180.9341929,317.665472,353.5445988,287.2815484,212.4010765,453.3209885,121.3465286,161.1734249,285.473047,320.2905938,260.871924,217.6709053,161.1244119,291.4317771,406.4629309,171.2304289,343.8014277,347.3227275,123.3451864,352.2048954,181.5369086,392.3023669,223.4229882
nhaR,363.5198235,286.030048,379.5604413,393.068233,455.3071238,319.7586206,402.8531321,261.7832519,248.0709579,417.5623688,486.5077274,234.431211,170.0335925,169.3704522,88.77753886,125.7899696,111.7962105,81.76666819,59.17041352,60.324292,148.0582483,421.3349757,47.28430151,200.0586924,132.6629542,97.74092315,216.5145225,353.996551,60.24741489,105.1622054,66.80143598,112.2266762,158.7735228
lrp,1745.564279,1962.228941,1719.886856,2110.728122,2377.075627,1211.695853,1861.547712,1428.315768,1605.008713,865.4764476,628.9567596,2101.588827,2002.593007,1272.641653,526.6763334,996.079972,193.6377338,228.4154278,561.709508,787.725685,277.8736692,523.4124035,513.0170982,1652.671031,1305.116356,294.4003971,1313.390268,1820.359853,183.7074503,708.482242,390.8642775,572.7536324,112.8774562
hyfR,19.15691677,33.64491628,29.40544851,30.40334602,24.13677582,86.22987375,34.43994979,30.3976098,20.18783773,29.3476352,22.08285454,20.1272725,20.74523986,21.43750943,64.3024212,26.98349783,102.8214945,66.21215978,27.45883168,22.72261804,96.88704134,15.24695818,46.92040266,19.60220623,20.47044389,78.84613127,18.87296279,19.32572171,74.13815802,20.93852856,51.60953509,36.19533212,121.3293456
fhlA,773.8624939,851.3318196,777.904469,457.824154,322.4851829,274.3018866,535.7679826,599.933897,776.6178581,1286.386251,2241.048923,405.2665074,456.5389612,522.945097,171.784906,95.22108489,70.28100771,169.8421637,126.8233934,174.5409849,198.1840477,987.8792184,152.7891186,306.2389849,241.1806069,87.37998026,294.3930203,289.1221021,127.9084646,182.6499638,111.8526755,381.4401838,175.1308195
pspF,28.46979185,42.27082202,41.46509338,69.57276877,44.36256326,81.42498065,28.89738952,32.98050903,31.97664654,38.01149644,32.65983751,28.55739279,42.67377919,38.01454433,115.1459576,99.04503285,185.8369014,140.051832,135.2591033,129.8343698,166.7412341,39.41755696,153.9495974,34.77494545,80.50749871,140.1562954,56.78696648,61.80523778,172.9596078,100.7820535,165.3548286,111.0408899,162.7566543
treR,68.48569787,81.63689967,90.27642608,179.1114801,141.0111082,182.0203814,97.7759897,80.60901408,58.81151173,71.49839989,52.58765179,177.2990718,233.5290419,153.0628272,276.6950246,374.7904431,346.7828532,340.1558249,236.0507555,212.191184,262.2327606,199.027813,274.7093097,176.2981196,269.3778613,360.2052085,229.9367416,218.7070302,327.8827528,266.7916786,289.9455693,226.8566598,353.3797255
marA,6864.90362,6219.046786,7412.947492,5421.436179,5360.800937,2891.70444,3986.059444,7505.536356,7872.928234,2652.6891,1938.463592,3187.877822,2869.439478,1713.373257,799.6893772,1529.626068,255.9399476,410.028122,1899.806548,2215.371503,649.4823345,1458.159489,1045.620335,2706.149275,1716.583886,376.7838302,1404.097548,1151.535188,495.2712594,1961.358081,1176.79287,877.567072,164.7906289
iscR,1183.883862,698.4397824,582.3119123,3267.809896,5991.199255,1924.301625,1049.688335,934.1179996,714.5815215,1573.28171,1976.338975,1241.907609,1290.605558,762.4107176,1483.992202,5366.247266,632.8982443,328.4416717,631.1823729,516.5703218,570.1820306,3618.819196,556.231209,978.9975871,3531.600484,1232.85069,3948.169768,1796.363183,455.1410716,640.4716871,466.1110125,752.6413706,448.1340126
glcC,124.3170416,158.5857877,176.7719334,752.0297179,228.4314492,149.9576826,216.2080834,138.0281914,140.1097125,1361.97471,493.1239785,242.1760357,277.5253377,193.8356308,247.2362399,262.6278325,238.4202358,189.0436592,195.0696447,197.758006,251.0315158,1337.290105,212.7805246,300.3585912,466.2528225,228.729625,219.8514781,338.0925473,203.0451931,197.1693616,183.986116,468.2687629,311.9038163
gadX,1037.752002,542.5142281,971.5077414,322.1901929,239.6477496,364.9358169,1008.987752,698.9901209,534.5739439,2540.334218,4598.120951,346.2778921,294.9959242,301.4008759,41.38399707,34.12401647,29.53501102,237.2484503,52.9187253,94.52575194,123.6971526,1696.525304,40.41695496,362.2926832,91.28145916,19.91037123,239.8168196,494.5519336,42.01075539,232.7505861,100.2078989,656.145582,244.8078774
gadW,92.15132383,37.9783102,63.61793613,19.23205056,20.1237762,12.49720675,31.58416489,35.85661212,42.95067608,98.3680886,220.3028408,45.83786915,37.0671271,44.89098799,71.07305765,49.9133543,79.41327851,71.03656868,57.56129853,61.94774839,96.17418145,116.9997968,65.89942181,38.35388957,49.36933137,89.65328625,73.57370696,69.44661892,91.99042292,88.77633536,94.33024475,120.6981256,148.3825712
mhpR,19.23379844,56.38384829,31.25294566,36.13853059,21.48601504,117.9907476,31.4773191,27.78138712,19.49715569,305.0383813,154.0987359,20.52577351,20.70306345,23.2931006,110.7825486,28.18126329,153.6969244,106.158366,81.78870804,76.97967664,144.439892,150.9266849,123.388196,19.96814543,27.18760626,139.5340458,18.44819472,22.31897206,136.9661259,83.90464602,95.52733217,75.63174697,130.9484264
rtcR,23.90982836,13.3490863,14.37536366,30.74568593,23.73424928,30.94996996,16.06755018,13.08115293,20.41472836,24.77461618,26.06303645,21.06882398,24.16806239,60.01485606,11.18793415,24.18866581,9.105955169,42.36076744,42.93409199,22.23245251,5.565148276,24.75330665,37.52172658,21.0886676,21.9227592,27.99961821,19.49721564,23.0657607,14.17902394,18.76021884,27.48272565,13.18815755,7.752543021
phoP,504.3111425,445.1989984,444.9902044,620.7185659,549.0305752,318.4338534,476.0451421,455.6692493,639.6649667,636.0231826,688.2266078,418.7414124,373.2647628,294.3658059,157.1518685,317.2881643,21.19409603,133.0045916,217.612016,266.6629961,98.50162485,717.4218443,109.2144897,402.7165065,342.6888931,71.26715253,464.8334705,638.0305424,40.40520471,228.6511307,94.63392994,200.8979862,65.90283117
narL,4549.50673,4587.718743,4831.998488,4418.172845,5241.317046,4338.39319,7710.915915,4836.227309,5720.387438,4755.555649,4546.154783,4681.392939,5268.453949,3656.376426,1513.307263,2878.548537,1192.896222,1664.881,2394.664739,2409.009551,980.2355628,4678.296654,1319.873405,4414.582269,3719.141509,810.8703348,5164.977921,8725.24253,801.4855227,2867.303993,1480.007358,2551.721246,477.8047842
narP,578.9549759,511.5769268,611.1665787,556.2897743,1313.613899,349.824529,386.7569384,566.7911451,889.5194322,371.6300141,333.5345452,199.4243394,264.2443135,172.8352388,91.90913325,138.9199038,82.74665444,75.40665896,109.5609556,107.9767348,92.42071871,128.7098626,32.82695522,174.2907909,130.440006,83.65370164,109.7028851,105.7766596,40.94464228,90.93842501,44.83543659,60.7125686,63.76152439
paaX,84.80635785,87.38242773,114.551161,114.2297932,100.6059245,149.6551032,108.7766744,88.46879461,90.23453566,213.8813526,207.6727397,157.5625367,177.9571924,171.6320967,372.955975,239.1402711,399.0030656,495.1187632,296.7074165,258.9589937,497.9759331,645.8876037,336.441966,149.0329306,235.2527251,363.6317133,222.7447615,268.8637007,327.0972911,231.7600596,355.8861735,306.8582507,432.3249566
evgA,2677.060221,2230.96774,3276.853488,592.3152342,572.4553754,527.691722,1412.315046,2669.608786,3740.362197,2099.018501,2137.792281,1188.842492,1108.114878,980.3794318,194.3744759,310.1145296,7.504264163,205.6689349,557.48265,1085.748046,204.1589473,969.021043,572.4069625,2508.392094,607.783519,23.88738343,900.0670894,697.0705004,248.9491228,1645.99141,569.4978536,782.5446592,136.0151142
mprA,3692.335162,2986.045165,4806.705226,533.2145342,908.1658039,820.2203894,1756.93343,3941.257407,2321.223664,999.8122265,418.4389612,2776.225054,1774.75061,1179.778618,428.5705783,531.9937719,395.9397477,581.5703935,1707.199779,1538.888359,377.6040531,206.6885367,1079.782315,2238.970378,921.2349657,283.0908434,583.2260782,1145.339066,634.3180734,1683.44035,934.3103888,631.5617138,288.1403572
argR,99.05419651,49.53546981,53.18428949,65.44263573,54.91008093,67.74461741,171.758261,79.33367678,80.8626855,83.00265801,66.96400961,129.5425681,150.4238864,85.80152624,68.22052564,82.48780693,91.96447861,98.98017953,68.66111481,74.69340997,57.49759483,108.0406989,63.60897855,133.7710169,124.2981052,84.72721584,77.27363516,415.4319355,62.72102211,63.16081041,69.01630814,78.65413498,88.20191598
envY,30.27291001,24.35897689,17.55121019,35.24109518,28.24929552,17.47410432,20.13610553,20.43976049,22.5790838,22.47439422,23.11443752,20.8375559,26.15272052,29.08720402,16.29485504,41.29931738,15.08185783,45.87992523,28.51302731,35.44089033,23.7753101,27.55392356,33.75626937,21.37549721,39.38628101,14.47490468,32.91099168,28.71392801,14.0275525,14.2630762,17.22100586,28.38463861,13.3111602
fadR,50.33031927,27.97594421,28.28406577,25.02067876,39.27302101,31.49581295,28.47292403,35.85695354,53.90337716,59.66698136,41.37455259,88.16375908,72.04155185,102.092802,94.04448282,96.94045596,85.88533616,66.4457029,110.4960963,85.58295435,88.94404933,89.40411586,77.45760699,119.3730974,101.5551929,88.06509374,103.091182,83.77268698,73.64631192,80.48340889,70.69571058,91.81798839,81.7342718
sdiA,703.3027426,481.611856,468.7168198,933.3695688,1526.437471,973.6876269,1079.046783,476.2232221,570.8640465,541.720224,770.4364973,684.3801047,608.4571335,431.7792582,178.1016181,758.2946487,140.666514,485.1208798,242.6196731,286.3433217,111.2085593,992.4151365,230.4927953,922.5202316,582.5253138,175.1395701,1188.564322,1474.492981,108.9238961,385.9875806,172.3926098,266.8323182,74.74865819
iclR,328.6768253,259.1536847,277.9560464,317.5221472,331.9198824,306.3052346,319.1760379,382.8845645,471.0215673,234.9999702,260.2505929,323.4609386,378.7126574,300.8431548,385.0392491,343.3536756,408.1782753,336.3599033,421.6720451,412.216628,414.3132065,240.7441259,339.8631042,381.8848119,295.4470766,418.3142781,233.5146125,251.4711016,381.8316414,404.4295987,348.7825175,321.1609048,408.8022675
dnaA,1017.5979,691.129389,825.9657839,457.2054784,645.3530512,656.5171967,796.946843,910.7532265,1101.149663,575.4304617,594.9425116,881.8778908,836.436845,734.4981225,380.2164222,624.9311536,412.4603698,406.58539,609.7979275,597.6642479,414.3795471,621.3564771,408.2756062,839.9297973,566.7161484,314.9629419,794.3388844,803.9887151,407.2583271,714.7061098,460.0524236,466.7139702,354.6576465
nagC,889.680568,764.8434259,827.3063607,907.9248024,473.7306641,553.918403,818.0006467,837.4251692,802.3363546,619.2580387,412.1245369,875.9716752,794.8894959,721.7961834,245.6246857,313.3886408,125.7428476,128.1997397,320.79532,283.1094248,220.0420905,240.1431525,173.6937723,549.7559975,550.0826239,113.2043981,504.3332501,793.0377896,149.0369276,253.3848168,135.8993349,251.2594323,88.08503773
norR,992.0957689,867.3930167,802.4068187,5109.821612,3928.144921,1936.676483,2115.703204,930.6388933,961.6987229,641.2958489,623.7676183,713.9959234,616.9610957,574.9022115,771.1913291,1268.308622,715.0329697,756.8625089,596.552448,562.116318,593.1534281,606.9583161,573.3731443,740.6092752,1117.285432,641.9282845,1025.111412,1482.162351,569.0731194,572.8866922,583.7303123,553.2358033,519.8905524
cusR,2866.462456,2951.987267,3193.626326,2503.353822,3395.698458,1937.875554,2317.940508,3487.187979,3220.50292,1598.272502,1653.545615,1639.352633,1708.861164,1204.782431,824.2176805,1226.664127,853.6567408,1318.016649,1293.496249,971.4608459,790.7181658,1025.264101,1096.869606,1758.716887,1247.46883,793.9729892,1013.690422,1321.482432,927.8964857,1053.377756,807.8607962,828.7630781,737.8088596
mngR,94.23031696,79.67949607,74.41201519,127.0445742,127.4195754,199.2570784,98.12650696,94.82072132,66.33739655,58.52812664,26.16860554,61.90014335,68.5810773,120.1933843,67.0549816,80.60292718,94.02354949,8.797930338,46.6254125,36.0576351,127.0117143,43.21030267,18.3038519,52.29317444,61.77556909,85.67682617,66.93883681,97.20534385,70.49080675,34.79906429,69.39638733,42.88083776,90.14399959
cdaR,143.6879477,139.4506833,112.773579,156.8558375,137.6311161,193.0036667,147.6400111,121.2766885,133.5737509,427.7272876,399.5092771,162.7424525,195.4252784,171.9534556,231.8831119,169.6895,271.5436942,191.8212356,162.4535133,153.041286,330.9576281,421.6636954,171.1317746,157.7262332,180.8425462,259.546974,106.7814614,158.9752888,216.9757378,149.2936096,200.1902846,272.9435653,349.6368913
zur,228.1731103,141.7780262,194.1126937,412.5969097,309.3857173,296.8923414,207.5567841,197.4354493,189.8267309,189.9857269,123.2017087,205.788253,238.1205674,190.3195743,404.0097422,333.4375298,535.3683426,486.9995261,269.9453171,222.5095485,486.5586909,237.9804258,301.3347168,278.6700837,333.8620689,434.6500305,246.8540158,472.776026,456.446656,240.9129871,380.9528106,272.8653507,545.0001681
putA,253.2544922,292.3537811,313.3131145,125.1808773,376.2094339,233.4581922,162.913844,245.8818404,316.7999196,892.511704,803.0408279,333.2273434,270.5923594,221.8108547,211.3332191,315.3555343,251.6742535,274.9476781,232.1677255,254.307678,461.7524998,1417.223938,212.2343575,221.0874923,212.8641077,215.0893505,205.1756692,105.6365377,215.5171519,206.2348705,199.1322258,303.4520703,269.1043423
chbR,53.50358419,56.15011805,62.24306893,64.43792745,69.25472245,39.40994309,86.84292418,60.90181385,50.29026562,74.91309686,95.50246125,54.27025205,61.10941728,71.29717935,37.38360872,69.09854137,53.69867536,104.1934133,55.28272209,50.43127753,16.81326947,114.0956664,60.21946873,44.90470974,51.5326866,46.64692202,78.98188509,112.0094215,45.45974041,42.52779685,38.36411795,41.70719197,34.16292147
gadE,156.0909849,97.99572897,266.9128778,58.82174107,49.02743316,10.49226898,26.11155231,54.13684954,63.64928102,191.2764182,540.4024901,53.39367263,58.94041476,76.25988491,2.792862102,4.947730457,1.71116108,2.096465101,3.364280427,3.849842346,2.435559724,152.8391085,2.552624137,19.90204473,9.912934846,1.800201117,7.878493812,22.61922058,1.857278673,3.89941399,2.493451008,36.8050557,2.949445485
gntR,197.8041907,154.0116528,154.7367066,454.1279774,288.9132016,256.5398492,268.5919484,188.4078079,189.6693945,256.2148535,258.9202846,236.4618569,306.2202136,255.1498645,300.8376079,330.4771731,349.1753705,283.7242189,253.0810357,214.9566082,255.04745,399.5055303,240.3442894,294.5234569,317.7329996,312.470991,301.1567417,509.6028133,339.8806084,215.1783978,271.0907051,255.6875775,278.2519669
idnR,497.9567623,624.5096591,599.9367618,228.3011218,499.2226917,249.8357169,593.8967124,375.3271987,502.2271387,512.7961574,504.4970549,363.7803141,443.8425373,286.8156531,120.826632,273.3411994,86.70483791,168.437208,103.9708628,154.5385356,149.3202242,289.0956898,128.122335,303.7439449,220.9579339,125.7035593,431.1639328,307.246078,69.2149521,113.8477031,91.24533483,199.8401554,119.4214635
exuR,895.3856723,933.4546273,902.7888345,5560.790283,3452.553348,1827.084945,1938.666552,890.6765936,752.7508653,1300.245762,1166.841783,939.2964173,961.3717897,854.89787,745.9969624,2561.594524,422.2944392,967.7412404,571.8798796,505.8349577,324.6831524,2612.582443,584.9461727,1285.306978,2267.733192,858.7656082,2995.355693,3593.877035,287.7516389,497.0367206,327.8154535,661.3611475,248.4263541
