genename,ID_REF,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
fis,eco_gcs1_t08623,14515.521840000001,8851.813435,11624.43811,12021.64245,18737.54419,16201.01668,17579.24736,10318.8721,17824.36198,17811.03398,18650.10347,20188.7971,13106.67879,13098.45909,14179.913209999999,11693.837870000001,12346.5563,13844.81705,9450.213635,13987.836959999999,13330.24771,6594.687974,11111.45536,13240.572559999999
rob,eco_gcs1_t11431,371.7715387,352.6236768,361.8165287,327.2235068,361.41907779999997,357.63722,366.96903310000005,276.9983625,286.40824669999995,269.1426441,293.8909633,289.7032043,330.70967260000003,298.8359114,298.967893,301.4607168,280.01391739999997,303.31372000000005,286.97400730000004,347.5858978,365.7771553,311.7508438,344.96743860000004,310.03065130000005
tyrR,eco_gcs1_t03402,150.77257749999998,164.4988351,143.70698259999998,138.1397199,144.58199630000001,140.386702,144.7913523,122.46760459999999,128.7666518,115.81182290000001,145.9252784,147.2051171,157.78778909999997,127.53198200000001,137.7580102,134.65854209999998,130.76095,118.20984409999998,141.191878,131.0090302,154.4019658,126.39546240000001,131.6347442,117.726789
argP,eco_gcs1_t07797,105.25069779999998,129.0931118,124.13552959999998,95.12315002,93.55466939,84.46272511,91.33029656,68.30224992,76.82205569,67.61615076,74.17773746,83.96099009999999,141.84763049999998,129.00439029999998,140.5752417,139.89783480000003,124.3063146,130.25945190000002,128.6706287,140.16792869999998,148.43789730000003,116.12759790000001,134.70144480000002,110.83480320000001
cpxR,eco_gcs1_t10279,42.22389204,55.68521299,49.7160991,51.49724661,57.85883999,50.85868657,58.93711128,48.75895514,50.95462742,38.37163869,46.83716859,50.23405846,43.56155611,52.42474797,41.97830772,73.89378547,35.51238706,47.0910558,36.80055588,47.42195196,42.97540568,39.3520131,45.86821346,21.33378721
modE,eco_gcs1_t01883,619.907607,505.1804317,528.3034051,510.4590345,753.0959374,734.0617901,667.9632502000001,429.11785419999995,676.2390638999999,757.5813818,821.4375459,887.2161272,481.21431540000003,532.5117762,523.8183006,520.4062021000001,440.5267028,481.39245660000006,447.7929392,556.4292077,519.9459385,416.0437464,516.7541421,568.5913013999999
fnr,eco_gcs1_t03440,333.979171,390.06280860000004,340.2637084,314.30134310000005,269.30646160000003,252.25000780000002,242.131696,183.72364240000002,212.01446239999999,252.2888423,250.5699914,249.99861099999998,417.31553189999994,318.0070586,331.9736483,369.423585,328.9922028,310.94584,270.05939680000006,392.5186774,386.5086756,327.9506926,372.42071749999997,352.9575486
crp,eco_gcs1_t08848,335.0544651,430.67712580000006,454.49676330000005,384.2013702,327.84909,313.3797144,352.0605117,340.1045148,229.7037328,283.56036639999996,263.8032166,241.40217420000002,365.7141336,409.7825445,366.9932912,363.8031758,414.0613335,331.9318665,336.3328483,498.5957831,404.4437686,316.28916410000005,396.9085178,425.9531155
cadC,eco_gcs1_t10812,4.262425594,4.712065923,2.735834461,4.551909663,4.686252194,6.262851457000001,4.695823731,2.440069355,3.6892106669999998,13.29291472,5.842653124,5.977493186,3.3248892310000002,3.269867178,4.183563925,6.160607885,8.357368435,8.109249375,4.324260456,3.6325032580000003,3.5081732710000004,3.810398637,3.7743135939999997,10.78606751
nac,eco_gcs1_t05348,409.1177504,421.54527520000005,273.5917953,190.3311024,158.1217294,142.6172972,125.9519902,92.60343244,146.90268659999998,82.80701945,119.54735459999999,94.42005801,146.0856801,140.12667580000002,121.74468470000001,174.1972739,305.8809679,381.79071360000006,474.57797589999996,481.5359289,307.0644757,183.752197,227.8218707,156.0165595
hns,eco_gcs1_t03161,414.81106789999995,574.8305362000001,534.0641741000001,497.00045199999994,671.0766896,524.9398376,621.4665826,481.53708439999997,277.748923,312.533852,549.4120369,422.9078454,445.8146098,366.6625161,347.9474742,297.1418537,346.48049449999996,323.2899244,483.05726330000005,470.0753437,383.8397358,315.6544909,497.76164810000006,429.5034932
soxS,eco_gcs1_t10630,8.474064881,9.526617702000001,9.122353356,9.182055729,7.878928422,6.911076622,9.587017977,10.83792188,10.78335632,15.41347225,5.375224181,8.541465468,9.208276127000001,5.417532982000001,6.859474069,7.857847204,8.067693295,12.30091853,7.684897265,12.76687165,9.393494428,14.07788334,6.233435393,9.675232699999999
