genename,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
fis,7906.679678,8071.058674,6499.423349,7071.662477,6761.41511,6658.298389,4950.269701,1549.874613,6933.208976,5363.259955,3663.429339,3775.798886,7773.967648,9161.388592,7801.117046,3084.518244,8947.783101,11850.75013,6296.439631,5795.721662,7803.235782,7876.585453,6579.293495,3235.235826
rob,268.7634704,304.8048094,409.8485438,502.459958,526.747015,500.7725783,650.9777228,797.9063958,273.0295634,264.0755392,335.112787,485.7762342,487.9280758,457.7261716,467.5530717,1017.018346,295.6870358,252.6084953,411.7833129,332.0831806,430.4444374,478.7523267,568.7571129,985.1524877
tyrR,153.6261072,165.0300588,162.9723776,175.0433137,145.9532194,149.480681,187.7007897,237.7467594,151.4408757,138.1706988,149.3544567,148.4306716,141.3309079,136.4174089,131.1947859,265.9472639,143.986664,136.5241785,174.0917078,122.9888846,187.1394801,158.6643008,171.8357602,317.7662292
argP,117.6696196,123.8847839,105.3549663,91.61446598,92.93579368,79.69010421,95.98128736,130.0416461,126.8916109,113.2490103,92.48528774,102.5972088,90.78594965,76.36916622,75.14774788,126.514695,97.50255268,96.19059974,82.52049177,75.39546201,71.9468977,68.43401415,86.86489551,127.6747031
cpxR,37.57650657,33.99388148,30.42700231,39.50596433,42.47627769,50.17389993,45.100724,27.86825098,37.66174257,39.84775791,23.4417448,37.19967505,58.41534595,64.83562833,54.98999214,49.93613333,39.42769577,45.07185573,38.71802259,27.98889522,44.47401738,56.11726992,55.43843434,48.36546413
modE,415.867534,427.4287654,404.4242026,309.0218514,330.5271034,337.3798891,410.9775629,714.0313768,459.0160653,413.5612935,333.790267,348.5419813,422.3809642,427.9502976,479.8638396,1080.582716,579.9325576,564.5058959,486.0769119,361.5118664,442.4066033,496.7635052,542.4787978,1202.222198
fnr,350.8975634,432.1036921,520.7540333,483.3465972,469.0966565,481.0814296,503.0141359,561.0446351,348.02488,315.5655486,443.3113656,582.0112073,499.7456065,402.1907454,347.1474572,720.8740523,299.1167561,302.2266929,437.4449236,318.901962,391.3812778,386.1961406,403.8371012,581.5120097
crp,479.9922059,542.4784364,421.771247,415.0021528,393.1588899,379.9352762,425.9823301,751.7603158,535.9670397,469.2660512,410.7507582,436.8533916,394.859647,435.7887289,311.2876138,717.8698862,428.9813134,346.2745751,320.9917779,214.7966575,259.6332441,264.2491255,310.3290001,723.9016299
cadC,4.372161138,3.933822191,8.369199648,6.989615816,8.913259285,8.942484856,9.061118141,13.46661152,4.625180685,5.589561907,9.798340664,7.588670256,9.761157336,10.22233978,8.46858305,7.075545249,2.881901687,5.279993961,6.242541189,4.091288903,8.420951949,8.50046392,4.418679392,7.048476861
nac,231.8854433,241.5934492,185.2234383,139.8301829,109.1212549,81.63456414,73.64035263,42.91558005,357.3341964,254.4402609,170.9466876,157.0007571,117.4020166,73.2653378,62.69473935,40.71549128,190.851149,249.8919423,152.6601539,99.31428571,101.322727,72.02683615,50.3156116,50.30430991
hns,420.1409567,329.4405627,354.5471581,338.4111537,291.111611,329.3324171,327.3419475,384.2546825,392.9737487,375.8857208,292.4483328,302.1168536,318.5904574,319.226847,298.4582222,665.8218768,548.2024121,523.3373157,416.3791949,243.9135118,328.8497136,333.5062515,328.2846627,603.1138047
soxS,11.19484312,7.746107676,6.849639233,6.967985254,5.852695106,8.256513312,6.956773237,14.44242629,13.10166657,15.01786189,10.83822777,9.842471241,5.679991478,3.348184224,6.70052139,12.54685219,12.52692928,14.98728052,8.56571217,10.7091699,6.024635421,7.654119494,7.962869088,8.83085315
oxyR,7337.517641,8348.111376,9922.643483,8525.68377,7241.318926,7669.850072,10002.76181,20482.91542,10874.519,7937.009057,8521.961133,9152.984576,10282.46275,12646.19277,11375.40612,32742.59442,12226.74234,13880.04307,11453.07382,8022.851896,10242.78267,11372.54892,13124.97062,36327.56378
phoB,553.4832176,644.9549277,357.4837552,327.4810265,330.1138727,338.2829416,400.7842506,503.2013458,692.3181451,713.5914157,328.2201614,335.9608136,366.9896504,389.0844476,397.8459032,752.9161414,682.4016521,645.4657338,468.3388924,334.1454302,397.1459714,456.5144098,483.1702982,912.2378435
cysB,831.826787,913.3532742,944.0200404,898.1893088,806.3029809,707.3508127,988.699181,1340.490622,891.6060793,746.0845395,750.127827,930.227122,1380.25294,1367.535646,1227.448522,2608.759284,1398.805573,1534.321906,1583.938807,1294.743545,1429.067857,1364.439068,1609.549101,2841.505857
rcsB,220.84456,228.2813648,234.0986382,236.8645483,230.8510105,247.3725615,305.0803291,357.2584267,225.2115716,227.6487135,213.5408422,233.6761687,295.2033755,303.6869097,343.7881707,565.9431914,286.6949881,278.01731,279.6876279,153.3943369,227.503836,258.6814672,316.8188127,549.8175091
