genename,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep3_T1,rep3_T2,rep3_T3,rep3_T4
fis,33804.92467,33681.35995,1639.525246,4771.222783,27832.75117,669.8424379,7716.301903,16218.09552,28090.4685,432.9738479,14761.95817,20778.11717
rob,754.854377,957.4648507,2874.732254,2247.148841,452.8964954,307.7437701,262.5518836,364.2525679,328.7970761,320.6069275,828.7245923,515.3612623
tyrR,376.2366604,386.0450621,581.1031999,338.7403927,301.1634375,222.0658901,206.931494,212.8202935,279.3343102,201.6496194,317.7391369,264.8944319
argP,234.4936987,291.5602714,425.5833805,173.2471249,203.4555102,220.6190198,156.0342461,151.9103513,182.6034936,240.4503428,111.3782667,133.7055318
cpxR,98.6449506,150.1346914,181.6041795,163.1265494,72.59786693,5.174586454,4.029599967,30.05429329,42.72596578,8.106002108,59.38461183,49.75339688
modE,1081.230639,879.179593,437.6154475,727.8846223,793.0507555,199.5362492,275.5377643,399.4332229,833.6547576,202.0933903,774.1247909,719.1898986
fnr,1039.407372,1079.187649,2948.995167,1452.342139,387.9862989,392.7149303,192.2505775,316.9842437,367.5333361,357.0850937,452.05101,566.8450907
crp,846.003534,1490.644837,2156.009053,1149.473989,484.5199179,368.4244297,154.4940463,272.7464069,526.4807459,386.3781878,446.8412919,409.9856708
cadC,32.35744599,19.24385752,25.89582078,28.31718073,6.67763086,2.431893028,14.18635978,3.89087385,46.08320172,2.075062482,13.42060738,16.3863027
nac,66.28481584,55.50602953,283.6057074,239.3898482,45.03286071,92.63394806,90.75755161,75.45722121,70.47349008,80.04952226,99.55870242,71.48376044
hns,3801.147771,4010.723279,2886.771269,5406.23042,613.5384276,101.0799077,325.6719578,669.20793,793.3810957,95.81529724,2073.657763,1194.480158
soxS,54.04273091,95.66793122,216.1726303,50.36576747,42.77151372,59.76352047,91.28381793,81.07440142,29.40779571,47.15500195,21.3073912,25.57103325
oxyR,19625.10995,19947.23265,16949.86348,8682.446294,25155.19192,2173.010131,5550.299137,12872.66455,24025.95868,1636.359886,19591.64301,24222.57805
phoB,1402.638163,1341.146403,2048.73736,2842.123011,1297.031543,303.1576202,748.0564622,1363.065866,1293.113696,309.6956969,2046.233589,2233.266821
cysB,2357.982444,2363.686123,610.8546609,1357.70321,2734.238374,129.5539882,1119.330512,1663.885063,3202.414972,126.700809,3846.967459,3517.385391
rcsB,1440.293551,1988.235383,863.6236914,1118.981397,485.7410588,162.1746983,194.8499019,302.3114302,534.0040215,189.964827,710.3160893,675.0550018
lrhA,777.7646148,905.4091543,2580.465931,2010.30892,398.8291571,334.2222877,345.1381902,470.8893567,464.2800548,313.432947,1863.638051,961.3674018
arcA,2864.356052,3120.560096,20983.76635,24406.80406,1194.124155,1998.156841,1595.848285,1655.562698,818.6260762,1769.468651,7597.977144,2444.031652
fabR,266.6664309,441.6016172,423.8549748,194.0709216,237.0876127,261.2552283,232.9901613,159.9676461,189.9422447,217.1929886,121.1895519,108.338504
nhaR,929.8680508,751.658563,717.3142373,1943.340861,223.5398796,74.06195149,170.7674042,165.3066799,279.9121926,110.0038903,936.159698,547.478103
lrp,2793.41908,2189.386854,807.4081299,1088.288582,2263.986254,158.1154162,575.8567847,1267.969478,2641.866625,167.0254758,1721.457571,2720.880278
hyfR,14.88523195,15.35001039,17.42416184,16.11679775,47.66831552,77.71612945,130.6023783,87.3945976,24.45082795,80.96312849,13.13610052,17.99716768
fhlA,635.0153582,427.7764258,2178.143222,3324.525491,437.0867271,268.0079899,591.4557284,597.4778666,683.1101645,256.8565348,2114.989936,1550.76236
pspF,32.04431473,26.62168684,39.65355254,22.02002483,27.16506644,123.9817591,64.8549359,58.99151041,29.9970517,130.8985139,36.21634356,28.239393
treR,32.28628384,55.82145924,118.734925,47.92845833,102.6026679,285.6105944,158.2623279,109.6768201,62.31684522,295.0652242,48.07708428,52.02472891
marA,16350.18463,17649.28517,6459.444616,3015.91009,5365.306255,173.0514376,782.2965865,2844.142019,5280.374169,194.5992983,2585.550016,4965.506439
iscR,330.2562019,379.6095821,595.7187555,485.1859847,203.9167621,579.3996832,426.8339995,582.6097076,225.3506291,652.1493625,1708.402078,1387.851243
glcC,106.433284,398.4345239,6301.126481,1367.770768,154.8771859,570.2135384,278.777644,374.3031492,141.2893716,527.061782,737.0003794,464.8811685
gadX,6539.299406,4579.699847,12092.92379,29101.01927,227.2378622,221.1887446,572.6893332,790.2962812,422.0735206,238.9832496,2915.791209,1674.448344
gadW,224.8482223,170.9386425,412.3432932,1164.261575,6.886587499,90.09266272,57.24346566,16.48521151,16.60053046,108.6054204,92.52300377,48.8698903
mhpR,17.09320988,35.06879616,462.7818595,176.7364175,49.76868374,91.65818479,143.1886366,117.6068522,33.29647951,98.39889185,248.7799238,117.2988317
rtcR,20.2098848,19.14525088,16.32480982,22.83022093,21.31216932,5.900988439,3.263903005,11.71382303,24.12034693,16.24445929,21.95226063,17.026561
phoP,356.2843222,373.6111335,481.7199111,460.247914,436.6369856,116.3486475,93.03173073,237.3388425,270.11374,101.2779012,378.0480652,281.7642548
narL,6652.64855,7355.699844,9649.513236,7296.923723,3232.261077,1074.227536,1149.690629,1841.217369,3514.440541,971.7004471,3998.352865,3582.528221
narP,415.5896595,467.465681,118.3063157,248.9621581,468.0103633,58.56850965,138.0796129,289.9703346,398.1046932,60.30211087,285.7383728,354.6720298
paaX,36.50201982,48.32633812,589.1339151,146.6081673,74.85022001,295.0487283,138.2560329,113.2840852,47.14955139,320.6350318,156.8128306,91.00389125
evgA,22037.88388,19826.04307,4885.044634,8948.669621,2769.24347,26.01097837,437.7582475,998.6290623,2610.492779,58.64038596,1827.73491,2087.591909
mprA,11650.90472,7839.643799,2908.671751,349.441205,1369.93554,260.6862689,521.9809202,1936.419205,1040.253723,325.1067633,259.6703832,515.9520555
argR,98.72190273,283.4431319,143.9649638,83.4365434,49.97936253,71.73091764,8.680144694,23.93619359,43.51251436,90.05785636,21.92816363,35.36034383
envY,23.61253008,27.38804661,18.49596847,21.46754384,10.72397374,7.523346358,4.292726784,23.46836206,14.67709107,14.64778232,14.89070181,17.15545807
fadR,62.41500963,64.75204254,73.01179513,56.36478126,30.82696165,84.46286046,27.25481193,26.01543734,36.15195437,79.84381352,64.74655137,48.91516127
sdiA,1750.311587,1148.737453,2006.722635,1773.711584,555.718711,139.131257,301.0329863,486.272045,532.3749238,107.7752938,1217.911673,992.5995716
iclR,338.2903818,377.8935743,161.2154209,147.2320362,233.7909595,335.7639436,217.7029554,174.6082696,260.9403684,325.3805493,151.6722745,194.159666
dnaA,626.3503414,779.4128883,581.2654006,594.1868536,661.0646855,306.8544787,332.6962188,393.8682162,908.3590379,343.2124366,901.8729588,805.8334122
nagC,335.357351,378.4654456,171.5211526,275.6618638,505.6410882,112.6702857,198.6404164,313.767362,731.2117835,116.6766955,696.1326892,722.5901506
norR,655.3211263,587.6693755,358.842471,433.938621,692.7908685,535.0576155,432.8632286,628.7239631,832.8775256,504.8400971,652.4781337,820.1522451
cusR,2699.685092,2393.175197,1506.588421,1331.684001,2632.995538,790.6687968,849.6384758,1408.221628,2701.515346,723.5455897,1615.517896,1698.197155
mngR,87.39784194,77.12072598,50.84097614,36.08981606,85.57113996,119.7453527,108.9264576,139.2793016,52.99112723,46.55613997,25.91634472,45.76663817
cdaR,150.1721042,232.7822169,671.1052159,595.5312247,201.8264002,346.2587383,404.9755137,383.8810049,237.9565433,337.5416796,643.3692087,488.6116099
zur,131.5893294,166.1655142,286.2423543,91.62886845,153.6720855,369.6124809,323.7522477,204.3010784,123.1031316,285.6938132,100.3848525,73.12606736
putA,151.1875723,196.4440064,291.4706109,567.6025441,357.3896902,260.7836424,328.3669835,427.9235758,528.9844987,291.5267624,1899.598408,1275.823803
chbR,144.2467009,100.3111098,110.2965259,102.8139929,27.69741007,45.46323157,16.24377118,24.07998972,54.96433687,69.023069,58.64545623,80.21187783
gadE,520.8621099,496.8743298,1412.887575,2702.641523,30.90690994,1.609762835,2.31589539,71.7557931,68.43300061,1.921859668,271.8661104,263.3212744
gntR,164.1214916,190.6506025,505.0473461,501.3778722,161.840484,263.4490554,164.822677,141.6118855,192.0606926,231.2045567,148.4235102,102.8921327
idnR,530.8638798,495.6758188,466.6927813,499.6425023,293.8351688,104.9371464,177.3927348,219.024691,352.8474065,104.0629726,490.4947005,565.8973539
exuR,1612.122598,1527.916159,4523.892325,2016.819907,599.6025084,356.1186299,358.0156621,626.5473615,959.8710455,363.9740737,1141.697305,1636.81367
uxuR,50.99831951,96.53177626,145.9401727,231.9877016,87.5977411,180.9371654,114.3168177,90.25844724,73.20230406,129.9753703,72.35918569,52.26675375
uidR,6769.928068,6935.435256,12319.69225,12777.11266,2626.820786,1418.003931,2143.150103,3059.059758,3574.138332,1409.505812,8230.171279,8866.482297
ulaR,209.6768801,167.7049431,264.3290745,148.6087388,193.758386,192.6768742,179.4878021,173.5167173,232.6933116,194.5056557,172.5923926,219.4280895
trpR,405.4559505,724.3288756,1516.110687,648.6850237,216.8576963,446.2982345,202.2980366,214.4533821,135.2843132,392.2862963,200.1318877,172.2762971
malT,493.6301423,863.0175755,5067.00359,3612.128624,676.9504471,1228.045763,762.7102486,804.9674822,652.4605124,1213.923314,2259.966663,1131.707366
pdhR,4550.631957,4306.018021,891.5449488,1611.032966,3147.531512,398.8976406,695.7596262,1568.417979,2974.275246,393.2247787,2326.93487,4081.40593
hdfR,1667.86042,1327.834682,1026.778915,1036.768314,566.6664468,235.1615004,173.244305,328.0669122,718.5787743,251.520558,659.4553753,585.2882801
slyA,871.2437552,1077.347104,1445.7688,515.3945688,189.5648237,70.88273467,66.47370888,99.61134806,169.4659474,40.39989159,125.7358878,179.6799587
qseB,72.94239465,58.8820723,53.03974461,34.74235478,50.39382444,283.2228409,119.6914968,93.9282999,46.97276794,265.4234363,39.07554207,30.16814013
ydeO,241.538027,179.0141397,21.30745772,53.81188058,11.27326887,8.411803034,3.126276377,7.176690084,15.67244979,20.34430116,16.78355888,17.78946208
araC,72.33570446,110.9301409,847.233589,724.5913136,141.0204346,508.9301218,328.0507065,419.9662861,188.6194986,635.9785551,869.8994602,650.1139459
rhaS,34.85815366,33.13671048,236.0020192,128.2257855,67.2540942,202.5280314,154.0941201,97.60975912,52.99083841,223.1805315,86.44339708,79.80467637
melR,50.7451371,243.1448393,2139.946611,728.8855702,96.3289811,324.7730349,213.5384447,175.4231093,68.05405132,308.5487851,251.9811041,132.9978496
cytR,348.3784524,620.1721376,319.736908,584.833116,380.3618087,82.9137647,350.4060176,445.9177968,428.4280952,74.96173234,916.3649308,798.6674083
gcvA,180.7987704,195.2558441,125.8990969,186.7725774,198.4157424,235.3729461,163.7969891,186.9804778,235.4467156,244.2340364,244.6662771,280.4157593
torR,24.16931539,43.01321377,39.1871193,22.41068824,56.06105658,91.13392941,75.97868246,54.31268238,35.37382904,58.60424897,24.63847312,22.22026935
agaR,47073.77483,33124.84679,19611.65982,18186.5603,16233.98877,2562.808917,5452.800947,12906.67567,13086.04979,1813.280094,14692.17536,20498.67757
nanR,284.433018,257.995328,264.85027,122.7867479,175.7713102,158.2153589,198.9971124,226.9261515,203.2766953,142.6814267,157.208758,203.2404591
ada,35.05880875,86.93950575,249.3049816,236.7709264,109.6977077,294.443238,197.8955423,164.4417866,76.06115312,316.1495561,215.7183015,94.62638239
birA,297.8851179,457.6524322,186.4868797,137.7909947,304.89278,253.547277,235.7493148,187.0468052,338.4544437,222.8781279,197.5083306,201.8354746
deoR,171.459082,173.4675411,112.3307765,90.13786657,143.4618271,30.62942566,15.07812877,89.09655445,128.6574518,46.6973896,100.4409749,116.0680639
galS,16.99972016,96.36602377,1997.734903,1554.698275,48.15546612,331.2824106,343.255369,365.6315658,20.00002961,317.2523521,1125.212606,602.9222656
galR,102.1484817,108.012552,287.3699806,194.6751805,107.8466086,252.2961949,193.8665035,153.1107862,84.03759817,228.7204937,110.8377947,70.21572736
glpR,63.64990162,161.4278802,33.14716684,44.60918097,98.49576223,46.47540096,63.96822616,104.9364596,89.10132136,24.53043365,13.54258638,74.99663215
lacI,498.9195111,435.6645287,4136.917647,7956.529142,505.8729542,1498.390837,4018.561733,3219.431874,499.0271429,1389.811284,11307.1098,4632.181951
lexA,62.64866046,75.33781124,37.45248337,71.27720468,101.595634,178.6917924,109.6509267,81.76847284,95.31457682,190.4861249,64.03658768,68.71270199
metR,3276.895543,3008.409471,641.5058909,2159.693163,1888.014659,389.2346039,1321.426465,1248.77525,3511.775921,304.9471135,3796.148636,3656.601544
purR,1843.677964,1193.765541,57.44561932,79.01016089,698.1694594,83.37256251,202.2816968,385.8475076,898.6835485,66.82535489,240.5720414,875.4930193
rhaR,49.71578277,96.08871675,655.8544927,296.6909918,70.72015205,287.8051655,161.7717072,135.2840576,121.1436121,301.9166598,214.517779,116.9701969
ilvY,1019.862004,1066.976656,1431.72977,2529.59985,965.8656061,818.4880602,760.104572,914.1790661,1108.168925,898.4354093,2092.144415,1328.950242
alpA,274.2661138,197.4577568,32.90626594,68.42711295,26.81117298,121.5557301,83.78648656,18.27820782,81.38646277,115.4461327,51.45045439,104.565071
appY,1641.044419,1171.2822,490.9928193,1743.364363,118.2523038,1.443885592,66.25318393,238.4604324,147.8517172,1.629835243,360.970853,439.7825721
asnC,212.5296318,220.3675021,303.0058146,372.0653227,74.39475721,51.1504134,43.19570405,62.68953662,98.53818886,97.75643511,161.6019875,125.985644
atoC,22.2469588,29.27621778,95.20200177,126.5937988,29.00657201,118.2276172,78.73917463,70.76489079,29.67326781,138.527908,176.7729472,129.5882756
betI,98.57431202,203.8080598,269.9612489,85.68845717,278.8806035,447.3928742,266.4312332,277.4692174,179.9592013,474.6279137,168.1584941,126.9226399
cspA,684.4436881,2386.214791,422.4522674,722.8357221,381.6646379,117.4501842,91.00506068,46.65874967,226.9791314,125.5260134,155.2887275,128.9538674
cynR,64.21297162,55.76122829,15.68021324,24.30241683,109.8360261,142.2744791,152.3361823,130.1622574,96.02354595,122.3033353,48.71193342,66.00455227
dsdC,828.1789537,768.1031672,1430.346695,2010.154485,386.0897874,420.6698748,455.085217,583.975047,619.4150781,415.0552092,1487.577867,1253.954485
ebgR,30.04664839,44.82703516,23.41993743,24.69484536,29.46442935,100.0007912,54.22329902,42.88742881,30.49699752,109.432594,25.80226573,25.3082577
fucR,50.46045606,101.4596705,348.8612402,190.173381,64.5890172,286.6642912,191.525485,145.3368088,54.6639915,226.2061513,106.1918927,96.25664493
gutM,286.7981026,296.7390141,1179.200833,2333.681505,363.8590568,567.184206,960.0740778,652.3545791,500.5572819,603.3381207,4099.320776,1422.853609
srlR,85.2550104,178.2789563,832.2667001,406.7861931,121.6908786,179.2264136,215.8700302,141.9046721,154.2952409,184.1477699,426.0436366,210.4825705
leuO,51.31753171,36.24938618,37.36508685,34.52390984,19.67402319,174.8996073,70.67340048,20.71995647,22.25199659,167.1733114,19.85303576,20.84767058
lysR,63.25684257,73.61746958,87.27019395,82.76006627,68.67066212,81.77287668,56.4940718,58.36336131,82.7802847,96.82358584,63.55734807,73.70583653
marR,682.9202708,651.7445849,132.4659045,185.6993004,308.5303884,67.67534971,112.5925674,191.6399971,503.2330431,73.54257802,258.4438332,421.9828886
nadR,188.920753,259.8475608,865.3625554,436.0200051,180.3969942,180.638095,204.5690122,161.7044423,190.8001158,235.04606,177.0813207,127.0836399
rbsR,282.8056933,184.7172252,519.8335135,431.9045796,192.675807,323.2757599,281.1503053,202.4301648,186.5797546,296.2112974,586.8747876,349.6146527
soxR,20.13878178,17.83642142,20.1166894,32.09844676,14.87846798,132.0484065,33.09184992,28.12444941,13.59315913,154.3646073,14.36729896,9.464124887
tdcA,70.82772445,395.6608397,1228.43801,1268.352517,12.30335909,138.5792663,88.40223891,103.7560348,19.96339158,187.9681749,545.9989791,281.4531147
tdcR,21.05474184,15.42009031,115.0307779,68.73588751,4.005769195,2.072237983,1.589587694,3.09033607,5.275352115,3.166346354,13.2146905,13.63740452
csgD,3240.777583,2375.326262,136.8728203,1036.193129,271.2412351,46.69765942,127.5478946,183.5076171,438.6377179,34.16904139,568.0982686,467.8986539
malI,281.8023207,247.7318218,738.3328197,655.9551131,250.345409,356.3352728,241.5618638,286.0920187,337.3744524,321.2886062,781.8186797,581.2071307
yeiL,25.686983,24.11216585,26.19448306,56.17448831,23.65060581,58.74462321,59.14924299,42.35029722,14.51567592,30.60260199,27.95117644,21.61123518
cbl,125.6351733,193.9123536,33.37583881,239.6006521,84.59638109,183.1216784,204.3205632,155.4079867,100.8922231,168.6717091,295.3115916,270.0373224
xapR,287.9330763,273.575713,198.1222717,334.1189053,184.7995283,330.7218096,192.9779842,234.054662,151.2117438,276.1380568,247.8368844,234.5933951
xylR,103.9936248,133.8575728,177.9372332,121.6192358,88.13532074,138.0538657,182.625501,119.9701471,77.25712423,143.8419099,58.17465467,62.72654883
caiF,123.6698656,169.5927603,586.3559587,97.43552607,84.47055291,43.08313929,30.34988996,46.81179184,57.25411533,26.04471571,30.94370533,60.80351363
lldR,371.0712466,388.426614,5517.889597,3114.264792,364.9109156,592.4449264,974.2871814,1197.595882,464.0168243,655.4176064,4710.807603,2822.835671
zraR,56.0729081,148.0247997,95.80888913,102.2552207,195.222522,561.6751877,298.7828252,226.999634,221.292775,529.7770086,132.4506152,140.1040494
adiY,30.34859415,29.02444784,42.52745664,37.64901998,24.30380882,9.668663079,84.49516889,72.17773416,70.9241929,7.649523967,19.86970135,27.98217413
prpR,14.59683281,14.5274325,99.26546116,155.929658,22.70209115,203.5669002,32.79543446,72.02697422,15.48070618,214.5649123,59.08047458,42.79283923
hcaR,1659.851443,4079.261615,17047.7876,10645.24209,1263.475769,2407.891257,3094.142806,4267.22436,1863.883904,2177.345528,12740.57146,8176.876079
kdgR,313.3775584,448.0580204,1292.333416,596.0294194,163.1799176,166.1804993,107.124944,150.7455677,135.5104111,121.1864483,272.8685359,186.585785
allR,9266.605716,7859.105751,4747.437878,3309.786111,3815.588845,799.2515256,1311.728671,2175.023525,3458.199412,693.9865644,2887.645413,3320.468193
lsrR,22.06013154,39.476939,457.1458635,368.7214253,20.63526927,70.45581156,37.46845651,66.9350236,11.91270858,133.8820882,208.6076958,136.6222522
