0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
CFH,327.6,770.6,363.39,30.47,239.98,1342.96,164.05,779.93,86.0,425.19,768.93,716.57,808.55,819.93,699.45,578.96,810.43,1438.38,1233.25,1109.13,798.24,82.66,0.0,178.14,400.14,4.0,57.44,162.86,52.0,77.7,50.0,43.36,0.0,30.09,19.0,59.84,59.91,24.0,17052.94,5069.67,4853.98,878.13
GCLC,602.0,1293.89,556.48,68.0,421.0,2513.69,381.0,1300.0,157.0,1125.73,1335.22,1127.63,1328.0,1108.0,903.0,1047.0,1314.0,2447.0,1912.67,2123.11,1389.0,182.0,0.0,665.0,1355.0,24.0,146.0,455.0,184.0,229.0,93.0,177.21,0.0,33.0,20.0,38.0,97.0,23.0,7443.0,1880.0,1911.3,1464.0
NFYA,101.0,187.0,72.0,8.0,75.0,335.0,49.0,183.0,27.0,259.0,201.0,219.0,258.0,231.0,239.0,219.0,236.0,242.0,171.0,265.0,147.0,15.0,0.0,103.0,169.0,8.0,21.0,55.0,23.0,92.0,42.0,75.0,0.0,14.0,3.0,9.0,14.0,10.0,1016.0,253.0,299.0,247.0
CFTR,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,1.0,0.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,6.0,1.0,4.0,0.0
BAD,322.0,569.0,264.0,37.0,276.0,971.0,429.0,581.0,72.0,587.0,499.0,668.0,568.0,184.0,600.0,530.0,650.0,487.0,360.0,461.0,742.0,183.0,0.0,282.0,748.0,25.0,119.0,294.0,122.0,78.0,38.0,59.0,0.0,15.0,5.0,5.0,10.0,5.0,1277.0,274.0,334.0,676.0
CD99,755.0,1785.0,729.0,73.0,628.0,2696.0,498.0,1451.0,242.0,1673.0,1424.0,1711.0,1585.0,966.0,1440.0,1422.0,1926.0,2268.0,1963.0,1836.0,1921.0,301.0,0.0,829.0,1581.0,31.0,68.0,275.0,76.0,231.0,147.0,199.0,0.0,25.0,8.0,10.0,12.0,4.0,8381.0,2426.0,2368.0,1839.0
WNT16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MAD1L1,60.0,95.59,47.99,8.0,41.0,203.0,25.0,93.0,25.0,125.49,91.31,195.63,158.8,166.0,83.35,177.42,204.66,96.95,74.13,133.7,196.73,43.0,0.0,78.0,121.8,6.0,7.0,22.0,8.0,42.0,23.02,47.0,0.0,28.0,2.0,14.37,8.52,10.0,703.57,95.51,148.98,99.48
CFLAR,194.0,400.08,165.76,11.0,99.38,740.91,160.66,398.2,240.12,1451.28,398.71,414.64,481.63,354.17,402.82,410.32,556.56,515.93,380.22,422.06,407.14,83.49,0.0,181.54,409.43,11.0,44.0,101.93,23.11,127.6,76.0,131.67,0.0,52.53,20.0,49.61,42.51,17.0,4425.39,1219.55,1314.96,1811.69
CD38,238.0,470.0,188.0,14.0,205.0,784.0,78.0,460.0,169.0,950.0,458.0,359.0,370.0,273.0,259.0,186.0,248.0,232.0,178.0,187.0,569.0,73.0,0.0,166.0,355.0,14.0,14.0,92.0,7.0,47.0,21.0,45.0,0.0,2.0,3.0,5.0,6.0,3.0,17473.0,4845.0,4575.0,1742.0
PDK4,512.0,1300.0,427.0,25.0,226.0,1484.0,340.0,750.0,32.0,248.0,929.0,856.0,916.0,804.0,876.0,674.0,1181.0,2082.0,1571.0,1343.0,892.0,101.0,2.0,191.0,447.0,11.0,162.0,300.0,105.0,513.0,337.0,658.0,0.0,197.0,93.0,9.0,7.0,5.0,6477.0,1792.0,1769.0,389.0
CALCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0
HOXA11,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,3.0,0.0
CREBBP,218.0,299.0,198.0,14.0,84.0,617.0,72.0,205.0,56.0,547.0,240.0,355.0,435.0,371.0,220.0,512.0,373.0,380.0,327.0,475.0,554.0,81.0,0.0,249.0,641.0,16.0,16.0,40.0,15.0,599.0,294.0,594.0,0.0,641.0,306.0,1289.0,1199.0,639.0,2962.0,417.0,558.0,395.0
