0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
CFH,23.9,28.15,31.22,24.73,24.87,29.85,17.02,29.93,22.55,14.77,28.16,27.47,26.42,35.03,28.78,26.17,25.88,45.25,44.51,39.75,25.97,15.99,0.0,13.72,15.23,5.65,16.32,25.51,19.66,10.36,15.27,8.74,0.0,19.75,12.28,12.94,10.81,7.71,123.63,130.65,130.07,26.55
GCLC,67.72,58.54,56.48,65.08,53.89,74.52,40.04,61.9,50.5,58.9,55.4,47.53,60.65,99.18,49.36,62.54,53.08,93.19,83.13,98.46,61.07,51.34,0.0,73.14,72.86,75.23,48.56,81.26,83.34,38.68,48.56,35.61,0.0,21.81,31.93,15.68,32.69,35.4,75.1,73.72,69.92,61.42
NFYA,8.75,6.63,7.48,6.44,7.21,7.38,4.51,6.09,6.59,9.0,6.68,7.64,9.14,9.41,9.84,11.25,6.94,7.15,5.59,9.44,4.96,2.8,0.0,9.99,6.53,14.09,6.08,6.72,7.62,15.36,10.1,15.26,0.0,7.28,3.56,3.05,4.21,5.64,7.68,6.46,7.58,7.14
CFTR,0.0,0.0,0.0,0.0,0.1,0.0,0.53,0.04,0.0,0.0,0.04,0.0,0.07,0.05,1.46,0.05,0.0,0.18,0.12,0.22,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,2.51,2.18,0.08,0.03,0.1,0.0
BAD,107.22,81.8,92.98,167.98,115.1,91.06,192.4,86.32,71.13,89.67,76.11,103.96,75.18,35.23,104.06,104.04,82.48,63.8,51.32,70.16,105.97,155.5,0.0,97.49,116.39,275.07,163.55,169.43,209.75,54.84,48.03,57.14,0.0,42.6,19.3,9.09,16.33,10.66,39.97,31.84,40.89,83.9
CD99,200.25,212.08,196.01,231.6,206.87,200.86,167.51,175.36,190.99,205.34,174.3,204.47,174.71,216.25,198.86,218.61,196.49,236.46,227.62,216.52,211.39,206.56,0.0,232.85,197.22,214.84,74.35,125.23,95.07,102.3,129.92,105.43,0.0,38.97,28.05,15.15,10.28,9.96,208.12,218.42,215.56,185.72
WNT16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0
MAD1L1,13.46,7.87,11.23,25.85,14.36,6.81,14.45,4.35,12.11,7.77,5.54,12.64,10.28,17.45,9.7,12.75,9.04,5.56,4.68,7.83,8.17,29.83,0.0,8.82,13.9,73.78,14.65,8.39,14.71,12.01,32.03,15.77,0.0,36.72,9.85,27.05,4.36,35.2,8.13,9.06,7.75,4.66
CFLAR,27.76,25.86,14.59,16.88,21.3,21.18,37.21,24.64,84.96,90.77,19.13,18.37,21.6,19.96,25.8,22.6,29.16,25.96,19.2,17.36,20.1,24.8,0.0,19.51,17.14,24.1,33.95,29.9,14.88,16.62,28.81,17.27,0.0,22.33,13.93,8.56,13.91,7.7,42.67,56.5,50.65,92.21
CD38,23.32,22.23,32.62,14.29,28.66,17.09,14.33,18.48,40.86,45.12,22.08,19.43,12.86,19.29,13.18,14.28,8.15,6.23,6.01,7.36,25.92,23.12,0.0,18.35,16.62,30.62,9.06,26.48,3.59,3.86,22.55,16.13,0.0,0.45,1.91,0.86,4.17,10.86,146.51,148.99,147.21,51.63
PDK4,40.6,44.62,33.11,21.35,21.26,32.39,33.21,26.47,7.22,9.08,32.66,29.01,30.54,35.69,35.1,29.0,35.1,63.88,54.05,47.42,28.61,20.01,4686.19,17.63,16.78,17.14,49.71,38.86,36.88,66.46,96.85,103.91,0.0,70.66,79.26,3.28,1.78,2.57,48.4,49.19,47.83,11.67
CALCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,6.26,0.0,0.03,0.0,0.0
HOXA11,0.0,0.0,0.0,0.0,0.65,0.07,0.0,0.0,0.0,0.12,0.06,0.06,0.11,0.0,0.07,0.14,0.15,0.15,0.0,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.13,0.0
CREBBP,9.48,4.42,14.67,37.39,3.37,4.54,3.47,2.39,6.79,8.53,3.03,4.52,6.72,8.09,3.32,9.27,3.57,4.21,3.98,6.73,6.06,11.98,0.0,13.72,10.6,12.94,1.6,1.69,1.72,35.31,26.86,36.63,0.0,171.38,138.48,180.11,117.6,166.22,10.47,4.5,6.13,4.86
MPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
PON1,0.0,0.26,0.0,0.0,0.14,1.29,5.42,1.81,2.52,1.92,2.1,1.62,1.99,0.68,6.11,0.16,0.65,2.96,3.27,2.42,0.35,0.0,0.0,0.0,0.54,0.0,12.3,1.44,12.77,5.86,19.01,10.76,0.0,19.51,57.79,2.0,0.0,3.96,3.51,5.15,6.89,2.05
ABCB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.16,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGAL,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.35,0.14,0.28,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.05,0.11,0.0,0.0
PDK2,11.46,10.98,15.03,47.95,13.19,12.6,9.5,8.6,10.15,9.45,12.79,14.44,17.32,21.57,16.57,29.45,15.21,21.61,16.73,26.2,12.81,12.43,0.0,14.89,19.62,15.85,4.72,6.64,2.26,17.36,14.38,12.93,0.0,8.96,3.65,0.0,1.61,0.0,17.97,14.42,17.31,8.73
ITGA2B,0.0,0.11,0.0,0.0,0.86,0.27,0.0,0.0,0.26,0.53,0.05,0.62,0.4,0.0,0.29,0.94,0.47,0.73,2.3,0.33,0.32,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,4.17,4.53,0.25,0.89,0.41,0.09
CRLF1,1.21,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.07,0.39,0.19,0.0,0.0,0.32,0.26,0.29,0.0,1.7,3.45,0.0,0.94,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.22,0.0,0.66
KRT33A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
TAC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0
TNFRSF12A,317.56,335.72,320.91,264.22,333.48,310.05,377.39,307.85,291.34,264.46,276.36,287.01,252.02,150.19,209.88,296.71,206.3,85.98,92.89,99.57,345.82,449.96,0.0,234.28,296.02,663.38,275.45,265.29,353.23,186.65,202.25,165.78,0.0,68.37,60.74,113.62,166.99,152.23,65.77,69.77,75.38,237.48
ETV1,2.18,3.37,0.58,6.27,0.72,1.32,1.26,2.58,4.74,1.82,1.34,1.64,1.78,1.41,3.44,4.19,2.24,2.53,1.55,1.73,0.77,1.91,0.0,0.41,1.29,0.0,2.77,3.13,1.51,0.69,1.84,2.23,0.0,3.73,0.0,0.0,0.0,0.0,3.07,1.37,2.1,3.35
CCL26,18.22,32.63,21.89,29.45,36.49,23.88,53.03,31.44,11.4,11.68,38.16,35.46,21.77,11.94,28.16,17.77,26.69,21.58,33.65,19.3,20.08,10.12,0.0,19.07,15.24,0.0,31.48,28.76,12.1,7.77,0.0,6.51,0.0,0.0,0.0,6.8,0.0,0.0,18.28,27.36,19.76,17.38
DBF4,6.34,9.06,5.45,6.69,1.62,4.71,6.73,8.84,6.71,10.72,11.0,9.89,13.1,15.72,12.59,12.32,14.88,11.08,11.64,12.88,7.27,6.08,0.0,12.52,6.69,0.0,10.57,14.78,8.55,16.78,16.14,18.05,0.0,41.68,23.42,6.05,8.43,3.93,8.6,11.86,11.43,9.85
TBXA2R,0.16,0.09,0.77,0.0,0.0,0.0,0.6,0.0,0.46,0.35,0.34,0.09,0.06,0.06,0.0,0.42,0.06,0.08,0.14,0.43,0.24,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.26,0.12
ADIPOR2,24.07,18.99,22.22,15.44,16.67,19.46,10.42,17.65,25.72,27.86,18.07,24.72,25.09,22.75,21.45,26.78,24.83,23.3,21.88,24.99,23.31,22.92,0.0,21.87,20.01,23.95,5.82,11.83,12.7,29.85,33.89,32.97,0.0,38.91,57.14,50.44,53.09,40.54,24.97,20.64,23.21,22.19
NOS2,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.0,0.2,0.0,0.04,0.11,0.14,0.0,0.22,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.13,0.0,0.25,0.06
PAX6,0.72,0.61,1.28,0.0,0.0,0.78,0.0,0.6,1.17,0.82,0.71,1.43,1.98,5.39,1.44,3.61,1.76,0.97,1.09,2.36,0.13,0.0,0.0,1.08,1.42,0.0,0.0,2.7,1.68,3.8,0.0,0.0,0.0,0.82,0.0,0.0,5.14,0.0,1.09,1.59,1.82,1.89
TEAD3,1.42,1.86,1.88,1.14,1.38,1.76,0.39,2.26,2.52,1.71,1.13,1.67,1.88,1.0,1.44,3.8,2.1,2.07,1.29,2.48,2.17,3.17,0.0,4.69,3.39,10.39,0.0,0.52,0.94,4.08,2.38,4.03,0.0,5.6,2.12,2.54,0.5,2.42,2.64,2.24,2.88,1.12
SELE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,2.0,1.69,0.67,2.55,1.25,0.0,0.0,0.0,0.0
NOX1,0.23,0.22,0.0,0.0,0.0,0.0,0.0,0.0,2.39,1.38,0.23,0.05,0.38,0.28,0.0,0.06,0.13,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.15,0.17,2.1
E2F2,1.62,1.38,1.75,0.59,0.77,1.43,0.67,1.21,1.77,1.57,0.94,4.97,6.19,2.93,3.63,6.32,4.32,1.54,2.43,1.91,1.25,1.22,0.0,1.26,0.98,25.03,0.0,0.62,0.24,2.7,1.4,1.86,0.0,0.25,0.0,0.0,0.14,0.0,2.79,1.65,2.02,1.16
SYN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,2.27,0.0,0.0,0.0,0.0
