0,1,2,3,4,5,6,7,8,9,10
CFH,329.53,311.79,407.92,312.68,316.65,243.06,368.0,224.07,178.16,699.86
GCLC,39.89,38.49,15.13,18.51,26.31,53.32,10.51,14.73,12.53,20.14
NFYA,2.73,2.3,3.36,2.51,2.82,2.75,4.39,3.39,1.98,3.01
CFTR,0.81,0.59,6.39,2.64,2.45,0.0,18.35,0.78,21.22,0.0
BAD,28.63,40.2,38.05,48.37,40.99,74.6,48.44,73.38,35.72,42.3
CD99,90.67,73.87,132.23,122.73,103.59,222.01,124.19,161.08,106.6,314.56
WNT16,0.05,0.0,0.02,0.0,0.14,0.0,0.2,0.0,0.24,0.0
MAD1L1,30.46,37.86,13.41,35.82,22.37,18.69,46.0,23.81,25.39,14.52
CFLAR,17.5,13.44,23.29,26.27,19.4,16.46,23.25,16.41,27.77,13.97
CD38,0.52,0.64,1.82,3.76,1.61,0.27,7.4,4.93,3.24,1.94
PDK4,47.01,60.28,17.76,36.05,25.26,10.73,29.38,14.31,44.32,17.81
CALCR,0.0,0.0,0.0,0.09,0.02,0.49,0.0,0.04,0.0,0.09
HOXA11,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0
CREBBP,13.65,10.23,7.24,11.03,8.91,3.45,11.53,15.04,21.16,8.75
MPO,0.07,0.06,0.09,0.16,0.0,0.02,0.32,0.02,0.0,0.0
PON1,425.46,469.24,140.23,371.04,180.3,63.47,95.63,96.83,114.48,305.14
ABCB4,90.84,107.68,33.37,147.36,73.83,99.25,155.21,52.63,81.0,157.7
ITGAL,4.63,2.76,12.65,26.73,12.56,2.0,11.95,4.93,10.6,11.38
PDK2,18.37,21.48,15.03,15.48,18.35,59.17,16.4,20.73,9.86,14.21
ITGA2B,0.03,0.16,0.28,0.14,0.37,0.77,1.12,0.09,0.3,0.98
CRLF1,2.13,0.0,1.96,2.39,1.41,0.32,3.98,6.58,10.49,1.41
KRT33A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
