name	ids
AATF	0
ABCA1	1
ABCA3	2
ABCB1	3
ABCB11	4
ABCB4	5
ABCB8	6
ABCC1	7
ABCC2	8
ABCC3	9
ABCC4	10
ABCC6	11
ABCG1	12
ABCG2	13
ABCG4	14
ABCG5	15
ABCG8	16
ABL1	17
ABL2	18
ACAA1	19
ACACA	20
ACACB	21
ACADL	22
ACADM	23
ACAN	24
ACAT1	25
ACAT2	26
ACE	27
ACE2	28
ACHE	29
ACLY	30
ACOT7	31
ACOX1	32
ACOX2	33
ACOX3	34
ACP5	35
ACRV1	36
ACSBG1	37
ACSBG2	38
ACSL1	39
ACSL3	40
ACSL4	41
ACSL5	42
ACSL6	43
ACTA1	44
ACTA2	45
ACTC1	46
ACTG2	47
ACTN4	48
ADAM10	49
ADAM12	50
ADAM17	51
ADAM23	52
ADAMTS1	53
ADAMTS5	54
ADAR	55
ADARB2	56
ADH1A	57
ADIPOQ	58
ADIPOR1	59
ADIPOR2	60
ADM	61
ADORA1	62
ADRA2B	63
ADRB2	64
AES	65
AFP	66
AGER	67
AGGF1	68
AGR2	69
AGT	70
AGTR1	71
AHR	72
AHRR	73
AIFM2	74
AIP	75
AIRE	76
AKAP12	77
AKR1C2	78
AKR1C3	79
AKT1	80
AKT2	81
ALAS2	82
ALB	83
ALDH1A1	84
ALDH1A2	85
ALDOA	86
ALDOB	87
ALK	88
ALOX12	89
ALOX15	90
ALOX5	91
ALPI	92
ALPL	93
AMH	94
AMHR2	95
ANAPC4	96
ANG	97
ANGPT1	98
ANGPT2	99
ANGPT4	100
ANGPTL4	101
ANKRD1	102
ANPEP	103
ANXA8	104
AOX1	105
APAF1	106
APBB1	107
APC	108
APCS	109
APEX1	110
APH1A	111
APLNR	112
APOA1	113
APOA2	114
APOA5	115
APOB	116
APOBEC3A	117
APOBEC3B	118
APOBEC3C	119
APOBEC3D	120
APOBEC3F	121
APOBEC3G	122
APOBEC3H	123
APOBR	124
APOC3	125
APOD	126
APOE	127
APP	128
AQP2	129
AQP7	130
AR	131
ARC	132
AREG	133
ARF1	134
ARF6	135
ARG1	136
ARG2	137
ARHGEF1	138
ARID3A	139
ARL6IP5	140
ARNT	141
ARNTL	142
ARNTL2	143
ASCL1	144
ASCL2	145
ASF1B	146
ASH2L	147
ASNS	148
ASPM	149
ASS1	150
ASXL1	151
ATF1	152
ATF2	153
ATF3	154
