0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CFH,62.53,471.0,362.16,1119.66,780.0,412.0,1750.0,209.0,1056.0,440.0,1111.61,1075.0,2.0,0.0,9.0,0.0,0.0,0.0,63.0,1.0,0.0,0.0,258.96,0.0
GCLC,282.0,213.0,384.6,44.0,86.0,168.0,103.0,130.0,61.0,79.0,109.0,82.94,607.0,310.0,898.0,563.0,517.68,344.0,644.0,365.0,1331.0,456.89,821.0,1563.0
NFYA,230.0,162.0,449.0,36.0,167.0,90.0,107.0,62.0,67.0,157.0,107.0,153.0,349.0,302.0,69.0,22.0,412.0,239.0,238.0,254.0,424.0,502.0,221.0,361.0
CFTR,1.0,1.0,0.0,8.0,1.0,0.0,10.0,0.0,1.0,3.0,3.0,3.0,32.0,13.0,0.0,28.0,8.0,0.0,4.0,0.0,10.0,0.0,24.0,0.0
BAD,287.2,333.33,301.15,211.76,214.94,192.29,188.25,11.0,5.0,5.0,7.0,17.95,71.91,176.74,402.0,481.46,117.75,385.93,188.85,1348.0,49.0,523.0,571.0,1403.57
CD99,363.0,2160.0,3420.0,1638.0,5111.0,4524.0,8127.0,744.0,1380.0,711.0,1212.0,7227.0,15.0,1823.0,2842.0,2334.0,539.0,6586.0,5260.0,3257.0,1176.0,1283.0,4772.0,4395.0
WNT16,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MAD1L1,247.0,208.87,218.85,79.0,260.31,229.0,194.29,6.0,6.0,1.97,9.0,13.0,13.0,41.0,115.0,55.0,22.0,87.0,189.0,3.0,12.0,20.0,394.0,67.0
CFLAR,1496.05,753.0,1634.74,582.94,807.0,1160.63,1013.2,280.0,488.0,339.0,547.0,416.0,1871.0,463.0,1185.0,1803.0,462.0,1785.0,1186.0,1658.73,1036.0,1392.31,1525.0,1783.0
CD38,6.0,59.0,488.0,37.0,17.0,42.0,47.0,32.0,146.0,10.0,23.0,7.0,3.0,0.0,0.0,1.0,2.0,0.0,26.0,0.0,0.0,36.0,0.0,0.0
PDK4,57.0,358.0,12.0,331.0,13.0,117.0,69.0,39.0,273.0,10.0,807.0,113.0,87.0,18.0,1526.0,413.0,20.0,201.0,48.0,42.0,499.0,1.0,56.0,1.0
CALCR,1.0,2.0,0.0,3.0,0.0,0.0,0.0,12.0,5.0,1.0,5.0,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
