0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
HES4,10,12,6,1,8,22,15,3,10,26,16,4,28,57,26,10,6,13,7,5,0,6,14,1,9,6,2,18,9,24,8,2,0,1,0,427,118,150,89,11,48
ISG15,10,29,12,6,18,38,18,14,19,22,19,10,31,12,39,30,14,22,35,3,0,9,28,0,0,3,4,6,5,2,1,1,2,12,5,36254,12108,12533,2100,252,961
SKI,98,121,64,5,11,219,30,80,137,160,163,82,73,254,143,159,94,167,231,52,1,133,291,10,1,7,6,84,28,65,26,4,22,21,11,744,119,197,116,18,188
HES5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TP73,2,0,0,1,0,4,3,1,1,8,1,4,14,14,12,5,4,3,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,3,0,26,12,3,5,0,3
HES3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ACOT7,231,386,259,28,159,632,124,280,366,539,417,293,413,555,573,384,367,416,476,81,0,143,407,11,22,54,14,86,30,34,11,3,10,14,6,2818,768,947,484,72,505
HES2,0,1,0,0,0,6,3,1,1,1,2,0,0,0,5,3,1,1,13,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,1,1,5
PER3,3,7,0,1,2,5,6,14,13,31,36,34,19,33,20,29,36,30,4,0,0,0,6,0,0,0,0,39,19,36,75,20,296,458,196,216,56,68,6,1,16
ENO1,7614,14465,7905,841,5337,21537,4059,11486,14099,18950,16099,12422,11958,15295,17058,15368,13707,16713,17756,3021,3,6208,13594,286,474,2279,637,1690,611,931,205,43,62,92,53,69286,20680,23398,15541,2394,15770
PIK3CD,30,28,20,1,13,52,7,32,25,43,26,19,16,29,33,37,21,32,57,12,0,32,66,0,0,2,2,30,21,22,16,2,9,14,11,111,43,36,97,21,123
