name	ids
CFH	0
GCLC	1
NFYA	2
CFTR	3
BAD	4
CD99	5
WNT16	6
MAD1L1	7
CFLAR	8
CD38	9
PDK4	10
CALCR	11
HOXA11	12
CREBBP	13
MPO	14
PON1	15
ABCB4	16
ITGAL	17
PDK2	18
ITGA2B	19
CRLF1	20
KRT33A	21
TAC1	22
TNFRSF12A	23
ETV1	24
CCL26	25
DBF4	26
TBXA2R	27
ADIPOR2	28
NOS2	29
PAX6	30
TEAD3	31
SELE	32
NOX1	33
E2F2	34
SYN1	35
TFAP2B	36
MGST1	37
CRY1	38
NFIX	39
ST3GAL1	40
IL32	41
MLXIPL	42
CD4	43
PTBP1	44
PLAUR	45
DCN	46
BRCA1	47
ERCC1	48
CD22	49
NR1H4	50
ALOX5	51
MVP	52
RNF14	53
ZMYND11	54
BID	55
NPC1L1	56
ISL1	57
ATP2C1	58
IGF1	59
WWTR1	60
ATP1A2	61
CYP24A1	62
SNAI2	63
CD74	64
HGF	65
MNAT1	66
SAMD4A	67
RUNX3	68
SERPINB1	69
SPAST	70
NLRP2	71
RB1CC1	72
ERP44	73
BIRC3	74
ABCC2	75
HSF2	76
HSD17B6	77
NR1H3	78
VIM	79
FAS	80
CD44	81
IFNGR1	82
TNFRSF1B	83
POU2F2	84
TBPL1	85
ARNTL2	86
IBSP	87
BAK1	88
PIAS1	89
GABARAPL2	90
DAPK2	91
TIMP2	92
OTC	93
CASR	94
FLT4	95
MAT2B	96
VCAN	97
MSR1	98
CDH1	99
TNC	100
AIFM2	101
TG	102
ZIC2	103
GUCA2B	104
HSPA5	105
MAP4	106
HDAC9	107
RRM2B	108
TNFRSF17	109
LMO3	110
RSF1	111
PER3	112
LTBP1	113
NEDD4L	114
FOXP3	115
DKK3	116
MAPK9	117
BCAR1	118
RAD51	119
PIK3CB	120
LAMA3	121
ANAPC4	122
FOXC1	123
CYFIP2	124
EIF2AK2	125
TRAF1	126
TRAF3IP2	127
DCBLD2	128
PRDM1	129
ATG5	130
MTA3	131
DGKG	132
TBXAS1	133
MXD1	134
SLC2A3	135
COL11A1	136
ACAA1	137
HDAC7	138
CDH3	139
VMP1	140
SPHK2	141
AHRR	142
CASP8	143
DLX3	144
NGFR	145
HIPK2	146
RFXANK	147
LPAR2	148
ZNF76	149
UHRF1BP1	150
GNAI3	151
MCM10	152
ERBB3	153
SPEN	154
MAP2K4	155
GSTO2	156
PRKCQ	157
ME1	158
YBX1	159
ELAVL1	160
NFYC	161
SLC9A3	162
ASPM	163
SPI1	164
ZNRD1	165
PFKP	166
SP100	167
KLF6	168
PKM	169
TP53BP1	170
RHOA	171
CBFB	172
HDAC4	173
RASSF1	174
FGFR3	175
MEF2A	176
ACSL4	177
POLR1A	178
SIRT2	179
PITX1	180
BCL3	181
MAOB	182
RORA	183
TGFBR3	184
HES2	185
ATP1B3	186
NEDD4	187
LRP6	188
POLB	189
ASNS	190
CDC42	191
ATP2B1	192
TCF3	193
TRIB2	194
HLTF	195
PDCD2	196
PRKACA	197
TFRC	198
SREBF1	199
NFATC3	200
MRVI1	201
PVR	202
XRCC1	203
SCARB1	204
MCM2	205
TP63	206
ABCB11	207
PTGS2	208
TBX21	209
GLI2	210
NOTCH3	211
TEAD2	212
TSG101	213
ATP2A3	214
SCARF1	215
ENO1	216
KCNQ2	217
GTSE1	218
ACAT1	219
WNT8B	220
FOSL2	221
PLD1	222
PAX2	223
MCM6	224
MLH1	225
FMO4	226
SLC46A1	227
ACACB	228
TRAF4	229
ICAM3	230
MCAM	231
ARHGEF1	232
RARB	233
TOP2B	234
NFKB2	235
IL4R	236
SIRT6	237
TYR	238
FGFR1	239
MAP2	240
PIAS2	241
FAP	242
PIK3C3	243
HOXA9	244
EDN1	245
MLLT10	246
TP73	247
RUNX1T1	248
CDH17	249
XRCC5	250
LXN	251
CEACAM1	252
LIPE	253
DCT	254
RFX3	255
SESN1	256
SRCAP	257
PSEN1	258
HSP90AA1	259
RBL1	260
NDC80	261
CXCL2	262
AFP	263
COL4A4	264
TCF7	265
ARG2	266
MEF2C	267
IL12RB2	268
PGR	269
EPB41L3	270
TRAF5	271
NFE2L1	272
XPO1	273
KAT6A	274
GRHL2	275
CYLD	276
STARD7	277
REST	278
GSTP1	279
SLCO1A2	280
APOB	281
NCOA1	282
CD59	283
CD82	284
ATRX	285
MECOM	286
ABCB1	287
WNT11	288
MGST2	289
POMGNT1	290
B4GALT1	291
NFX1	292
EIF2AK1	293
HSD17B2	294
NOX4	295
ACOX3	296
ACHE	297
BAX	298
PSMC5	299
CETP	300
MMP2	301
GNAO1	302
PTHLH	303
TFAP2C	304
AURKA	305
GP6	306
KHSRP	307
DNMT3B	308
PPP1R13B	309
MAVS	310
OAS1	311
RPLP0	312
PEBP1	313
TBX5	314
ERP29	315
NOS1	316
FUS	317
BIRC5	318
SLC9A1	319
ICAM1	320
SI	321
TFAP4	322
ZNF268	323
NLRC4	324
NRCAM	325
LAMB1	326
SLC26A4	327
SLC26A3	328
ABCC6	329
ITGA6	330
TF	331
ESR1	332
ANGPT2	333
PHGDH	334
EZR	335
TGFB2	336
KRT31	337
CDC6	338
MSH2	339
EPB41L4B	340
PTGS1	341
BTAF1	342
TDRD1	343
SORBS1	344
BAMBI	345
IL11	346
CREM	347
HSP90AB1	348
SIRT1	349
JAK2	350
IL12RB1	351
ABL1	352
ACOT7	353
SCD	354
NRP1	355
MZF1	356
CDC34	357
HCN2	358
GADD45B	359
MADCAM1	360
MMP11	361
SMARCB1	362
BCL2L13	363
GSTT2	364
OSM	365
CABIN1	366
MAPK1	367
PRODH	368
HIRA	369
LGALS1	370
SOX10	371
SLC5A1	372
CYP2D6	373
XBP1	374
TIMP3	375
HMOX1	376
MCAT	377
MCM5	378
APOBEC3H	379
CBX7	380
PDGFB	381
TXN2	382
IL2RB	383
EP300	384
SOS2	385
CDKN3	386
CHGA	387
HIF1A	388
SLC10A1	389
SLC8A3	390
DICER1	391
RPS6KA5	392
PSMB5	393
YY1	394
APEX1	395
CHD8	396
PCK2	397
NFKBIA	398
NFATC4	399
PLTP	400
MMP9	401
CD40	402
MYBL2	403
NFATC2	404
SALL4	405
PFDN4	406
BMP7	407
NELFCD	408
TCFL5	409
BIRC7	410
CDC25B	411
TRIB3	412
ANGPT4	413
SAMHD1	414
JAG1	415
E2F1	416
MAP1LC3A	417
ZNF516	418
SMAD7	419
LAMA1	420
RBBP8	421
STS	422
ATP1B4	423
SRPX	424
XIAP	425
SYP	426
ELF4	427
SMARCA1	428
RBBP7	429
FMR1	430
PIM2	431
RS1	432
PGK1	433
GATA1	434
BRS3	435
CD40LG	436
TIMP1	437
KLF8	438
SYTL4	439
TNFSF13B	440
KLF5	441
ACP5	442
DNAJC3	443
FLT1	444
TSC22D1	445
MSLN	446
HSF4	447
MAPK3	448
ELMO3	449
NFAT5	450
CCL22	451
CCL17	452
CTCF	453
NME3	454
AXIN1	455
TSC2	456
ABCC1	457
FOXF1	458
UBE2I	459
MEFV	460
RBL2	461
MAZ	462
ACSBG1	463
OCA2	464
TJP1	465
MYEF2	466
RIPK2	467
NBN	468
CALB1	469
SFRP1	470
IKBKB	471
PLAT	472
DKK4	473
GDAP1	474
NDRG1	475
IL7	476
TRPS1	477
TNFRSF10A	478
MCM4	479
BNIP3L	480
KCNN4	481
NUCB1	482
NFKBIB	483
LHB	484
RELB	485
FCGRT	486
CKM	487
ERCC2	488
AMH	489
LYL1	490
FCER2	491
DMPK	492
AES	493
LILRB1	494
ASF1B	495
CCNE1	496
URI1	497
PDCD5	498
AKT2	499
PIAS4	500
EBI3	501
SLC1A5	502
BBC3	503
TGFB1	504
CD79A	505
CD33	506
CEACAM5	507
CRX	508
TYK2	509
ATP1A3	510
ZNF175	511
PLA2G4C	512
DBP	513
KLF1	514
DNASE2	515
TFPT	516
SLC5A5	517
PIK3R2	518
RAB3A	519
ISYNA1	520
ELL	521
CRTC1	522
HAMP	523
USF2	524
SUGP1	525
ERF	526
CDK6	527
NAMPT	528
PON2	529
HBP1	530
SP4	531
DLX5	532
PTN	533
CAV1	534
MET	535
WNT2	536
HOXA1	537
HOXA5	538
NOD1	539
CASP2	540
HSPB1	541
SERPINE1	542
NRF1	543
EZH2	544
MEOX2	545
AGR2	546
AHR	547
GLI3	548
PRKAG2	549
GCK	550
LHX2	551
TGFBR1	552
LHX6	553
ENG	554
KDM4C	555
CA9	556
TYRP1	557
CREB3	558
DDX58	559
BAG1	560
PTGDS	561
GATA3	562
CXCL12	563
MAPK8	564
ACTA2	565
TLX1	566
DKK1	567
EBF3	568
TFAM	569
UBE2S	570
KRT23	571
WNT3	572
KRT37	573
KPNB1	574
ENO3	575
CHRNE	576
BLMH	577
LGALS3BP	578
CCL2	579
KRT32	580
HSD17B1	581
MLX	582
DLX4	583
COL1A1	584
ALOX12	585
HDAC5	586
ABCC3	587
SMURF2	588
HLF	589
EFNB3	590
FOXN1	591
PHOX2B	592
SULT1E1	593
NMU	594
NFKB1	595
AREG	596
UBE2D3	597
MAPK10	598
ELF2	599
UCP1	600
IL2	601
KLF3	602
UGDH	603
PPARGC1A	604
CRYAB	605
HTATIP2	606
ZBTB16	607
HSPA8	608
ST3GAL4	609
CPT1A	610
CCND1	611
BIRC2	612
CBL	613
PDHX	614
SOX6	615
AIP	616
POU2AF1	617
VWF	618
CORO1C	619
IL23A	620
CYP27B1	621
KRT18	622
GLI1	623
METAP2	624
ELK3	625
WNT5B	626
FOXM1	627
CDKN1B	628
SCNN1A	629
LTBR	630
OAS3	631
OAS2	632
VDR	633
IFNG	634
GAPDH	635
CHD4	636
ING4	637
ENO2	638
PTPN6	639
SLCO1B3	640
NANOG	641
PRKAB1	642
PPARD	643
OPRM1	644
MAPK14	645
SOD2	646
IL17A	647
IL17F	648
MCM3	649
CD83	650
BMP5	651
BACH2	652
FHL5	653
CCNC	654
E2F3	655
MED23	656
PERP	657
HECA	658
CCR6	659
SLC22A2	660
CCND3	661
TBP	662
SRF	663
VEGFA	664
TTK	665
SLC29A1	666
TBX18	667
HBEGF	668
LOX	669
SPARC	670
HMGCR	671
IL12B	672
CCNG1	673
DROSHA	674
CDH6	675
LNPEP	676
PRLR	677
IL4	678
IL5	679
PPP2CA	680
FGF1	681
NR3C1	682
TCERG1	683
SMAD5	684
CSNK1A1	685
PDGFRB	686
CDX1	687
ATP6V0E1	688
EHHADH	689
BCL6	690
CD86	691
OGG1	692
RNF7	693
TFDP2	694
KAT2B	695
WNT5A	696
HES1	697
GNAI2	698
HYAL1	699
CISH	700
MAPKAPK3	701
FOXP1	702
ADAM23	703
IL1A	704
CCL20	705
KCNIP3	706
STEAP3	707
TP53I3	708
POMC	709
TLX2	710
HTRA2	711
ACADL	712
FN1	713
STAT1	714
GLS	715
IGFBP5	716
OTX1	717
ST3GAL5	718
KDM3A	719
PRKAG3	720
SMYD1	721
IL1R1	722
WNT6	723
IL18R1	724
IL18RAP	725
FHL2	726
TPO	727
ID2	728
ODC1	729
CEBPZ	730
LCT	731
SDC1	732
SLC1A4	733
SOS1	734
RND3	735
ATF2	736
KISS1R	737
EPAS1	738
ARID3A	739
SUMO1	740
NFE2L2	741
MSH6	742
DHCR24	743
SCP2	744
RAP1A	745
HDAC1	746
SFPQ	747
MEF2D	748
MFN2	749
NCF2	750
PLA2G4A	751
GADD45A	752
PRDM2	753
RGS2	754
ZBTB17	755
CD58	756
CD2	757
TTF2	758
NR5A2	759
BMP8B	760
ETV3	761
ACADM	762
SDHB	763
RGS4	764
RBBP5	765
ECE1	766
ID3	767
CR2	768
CD46	769
APH1A	770
SLC2A1	771
EBNA1BP2	772
CDC20	773
MPL	774
PTCH2	775
PIK3R3	776
FAAH	777
DR1	778
F3	779
FASLG	780
TNFSF4	781
SERPINC1	782
STMN1	783
PROX1	784
CTSD	785
STK11	786
KMT2A	787
APOA1	788
ATF6	789
CREB1	790
CNR1	791
PLAGL1	792
TNFAIP3	793
MYB	794
SGK1	795
ARG1	796
CTGF	797
FOXO3	798
TGIF2	799
ABCG2	800
SPP1	801
RARRES1	802
PPL	803
KLF12	804
CCND2	805
SATB2	806
KLF9	807
SET	808
NR4A3	809
CSF3R	810
ONECUT2	811
PGF	812
TGFB3	813
ESRRB	814
DNMT3A	815
BCL11A	816
EPCAM	817
IDE	818
IFIT3	819
MXI1	820
HOXB8	821
CRHR1	822
DUSP1	823
MSX2	824
TEK	825
GRIA2	826
ACAT2	827
TP53AIP1	828
TAF12	829
TNFSF11	830
ELF1	831
SMAD9	832
HSPH1	833
ETF1	834
KDM3B	835
EGR1	836
TMPO	837
SOCS2	838
NFYB	839
APAF1	840
DUSP4	841
CLU	842
TNFRSF10B	843
COPS5	844
TBX2	845
IAPP	846
CD80	847
CRY2	848
CAT	849
FABP3	850
KHDRBS1	851
CCR2	852
TNFSF10	853
PIK3CA	854
CXCR4	855
POLK	856
FLT3	857
GTF3A	858
PAEP	859
PLG	860
PTGFR	861
7-Sep	862
HNRNPA2B1	863
NPY	864
HOXA7	865
TWIST1	866
RECK	867
SPINK4	868
CALD1	869
PLAU	870
EGR2	871
ECD	872
P4HA1	873
CDKN2C	874
BHLHE41	875
SSPN	876
WWP1	877
ADGRE5	878
OPTN	879
ATF1	880
NR4A1	881
HOXC13	882
CDK2	883
LRP1	884
NFE2	885
SMUG1	886
COL10A1	887
