name	ids
CFH	0
GCLC	1
NFYA	2
CFTR	3
BAD	4
CD99	5
WNT16	6
MAD1L1	7
CFLAR	8
CD38	9
PDK4	10
CALCR	11
HOXA11	12
CREBBP	13
MPO	14
PON1	15
ABCB4	16
ITGAL	17
PDK2	18
ITGA2B	19
CRLF1	20
KRT33A	21
TAC1	22
TNFRSF12A	23
ETV1	24
CCL26	25
DBF4	26
TBXA2R	27
ADIPOR2	28
NOS2	29
PAX6	30
TEAD3	31
SELE	32
NOX1	33
E2F2	34
SYN1	35
TFAP2B	36
MGST1	37
CRY1	38
NFIX	39
ST3GAL1	40
IL32	41
MLXIPL	42
CD4	43
PTBP1	44
PLAUR	45
DCN	46
BRCA1	47
ERCC1	48
CD22	49
NR1H4	50
ALOX5	51
MVP	52
RNF14	53
ZMYND11	54
BID	55
NPC1L1	56
ISL1	57
ATP2C1	58
IGF1	59
WWTR1	60
ATP1A2	61
CYP24A1	62
SNAI2	63
CD74	64
HGF	65
MNAT1	66
SAMD4A	67
RUNX3	68
SERPINB1	69
SPAST	70
NLRP2	71
RB1CC1	72
ERP44	73
BIRC3	74
ABCC2	75
HSF2	76
HSD17B6	77
NR1H3	78
VIM	79
FAS	80
CD44	81
IFNGR1	82
TNFRSF1B	83
POU2F2	84
TBPL1	85
IBSP	86
BAK1	87
PIAS1	88
GABARAPL2	89
DAPK2	90
TIMP2	91
OTC	92
CASR	93
FLT4	94
MAT2B	95
VCAN	96
MSR1	97
CDH1	98
TNC	99
AIFM2	100
TG	101
ZIC2	102
GUCA2B	103
HSPA5	104
MAP4	105
ROS1	106
HDAC9	107
RRM2B	108
TNFRSF17	109
LMO3	110
RSF1	111
PER3	112
LTBP1	113
NEDD4L	114
FOXP3	115
DKK3	116
MAPK9	117
BCAR1	118
RAD51	119
PIK3CB	120
LAMA3	121
ANAPC4	122
FOXC1	123
CYFIP2	124
EIF2AK2	125
TRAF1	126
TRAF3IP2	127
DCBLD2	128
PRDM1	129
ATG5	130
MTA3	131
DGKG	132
TBXAS1	133
MXD1	134
SLC2A3	135
CREB3L3	136
COL11A1	137
ACAA1	138
HDAC7	139
WNT8A	140
CDH3	141
VMP1	142
SPHK2	143
AHRR	144
CASP8	145
DLX3	146
NGFR	147
HIPK2	148
BORCS8-MEF2B	149
RFXANK	150
LPAR2	151
POU1F1	152
ZNF76	153
GNAI3	154
MCM10	155
ERBB3	156
SPEN	157
MAP2K4	158
GSTO2	159
PRKCQ	160
ME1	161
YBX1	162
ELAVL1	163
NFYC	164
SLC9A3	165
ASPM	166
SPI1	167
PFKP	168
SP100	169
KLF6	170
PKM	171
TP53BP1	172
RHOA	173
CBFB	174
HDAC4	175
RASSF1	176
FGFR3	177
MEF2A	178
ACSL4	179
POLR1A	180
SIRT2	181
PITX1	182
BCL3	183
MAOB	184
RORA	185
TGFBR3	186
HES2	187
ATP1B3	188
NEDD4	189
LRP6	190
POLB	191
ASNS	192
CDC42	193
ATP2B1	194
TCF3	195
TRIB2	196
HLTF	197
PDCD2	198
PRKACA	199
TFRC	200
SREBF1	201
NFATC3	202
PVR	203
XRCC1	204
SCARB1	205
MCM2	206
TP63	207
ABCB11	208
PTGS2	209
TBX21	210
GLI2	211
NOTCH3	212
TEAD2	213
TSG101	214
ATP2A3	215
SCARF1	216
ENO1	217
KCNQ2	218
GTSE1	219
ACAT1	220
WNT8B	221
FGF4	222
FOSL2	223
PLD1	224
PAX2	225
MCM6	226
MLH1	227
FMO4	228
SLC46A1	229
ACACB	230
TRAF4	231
ICAM3	232
MCAM	233
ARHGEF1	234
RARB	235
TOP2B	236
NFKB2	237
IL4R	238
SIRT6	239
TYR	240
FGFR1	241
MAP2	242
PIAS2	243
FAP	244
PIK3C3	245
HOXA9	246
EDN1	247
MLLT10	248
TP73	249
RUNX1T1	250
CDH17	251
XRCC5	252
LXN	253
CEACAM1	254
LIPE	255
DCT	256
RFX3	257
SESN1	258
SRCAP	259
PSEN1	260
HSP90AA1	261
RBL1	262
NDC80	263
CXCL2	264
AFP	265
COL4A4	266
TCF7	267
ARG2	268
MEF2C	269
IL12RB2	270
PGR	271
EPB41L3	272
TRAF5	273
NFE2L1	274
XPO1	275
KAT6A	276
GRHL2	277
CYLD	278
STARD7	279
REST	280
GSTP1	281
SLCO1A2	282
APOB	283
NCOA1	284
CD59	285
CD82	286
ATRX	287
MECOM	288
ABCB1	289
WNT11	290
MGST2	291
POMGNT1	292
B4GALT1	293
NFX1	294
EIF2AK1	295
HSD17B2	296
NOX4	297
ACOX3	298
ACHE	299
BAX	300
PSMC5	301
CETP	302
MMP2	303
GNAO1	304
PTHLH	305
TFAP2C	306
AURKA	307
GP6	308
KHSRP	309
DNMT3B	310
SLC15A1	311
PPP1R13B	312
MAVS	313
OAS1	314
RPLP0	315
PEBP1	316
TBX5	317
ERP29	318
NOS1	319
FUS	320
HEPH	321
BIRC5	322
SLC9A1	323
ICAM1	324
SI	325
TFAP4	326
ZNF268	327
NLRC4	328
NRCAM	329
LAMB1	330
SLC26A4	331
SLC26A3	332
ABCC6	333
ITGA6	334
TF	335
ESR1	336
ANGPT2	337
MYH7	338
CEBPE	339
PHGDH	340
EZR	341
TGFB2	342
KRT31	343
CDC6	344
MSH2	345
EPB41L4B	346
PTGS1	347
BTAF1	348
TDRD1	349
SORBS1	350
BAMBI	351
IL11	352
CREM	353
HSP90AB1	354
SIRT1	355
JAK2	356
IL12RB1	357
ABL1	358
ACOT7	359
SCD	360
NRP1	361
MZF1	362
CDC34	363
HCN2	364
GADD45B	365
MADCAM1	366
MMP11	367
SMARCB1	368
BCL2L13	369
GSTT2	370
OSM	371
CABIN1	372
MAPK1	373
PRODH	374
HIRA	375
LGALS1	376
SOX10	377
SLC5A1	378
CYP2D6	379
XBP1	380
TIMP3	381
HMOX1	382
MCAT	383
MCM5	384
APOBEC3H	385
CBX7	386
PDGFB	387
TXN2	388
IL2RB	389
EP300	390
HDAC10	391
SOS2	392
CDKN3	393
CHGA	394
HIF1A	395
SLC10A1	396
SLC8A3	397
DICER1	398
RPS6KA5	399
PSMB5	400
YY1	401
APEX1	402
CHD8	403
PCK2	404
NFKBIA	405
NFATC4	406
PLTP	407
MMP9	408
CD40	409
MYBL2	410
HNF4A	411
NFATC2	412
SALL4	413
PFDN4	414
BMP7	415
NELFCD	416
TCFL5	417
BIRC7	418
AVP	419
CDC25B	420
TRIB3	421
ANGPT4	422
PDYN	423
SAMHD1	424
JAG1	425
E2F1	426
MAP1LC3A	427
ZNF516	428
SMAD7	429
LAMA1	430
RBBP8	431
STS	432
ATP1B4	433
SRPX	434
XIAP	435
F9	436
SYP	437
ELF4	438
SMARCA1	439
RBBP7	440
FMR1	441
PIM2	442
RS1	443
PGK1	444
GATA1	445
BRS3	446
CD40LG	447
TIMP1	448
KLF8	449
SYTL4	450
TNFSF13B	451
KLF5	452
ACP5	453
DNAJC3	454
FLT1	455
TSC22D1	456
MSLN	457
HSF4	458
MAPK3	459
ELMO3	460
NFAT5	461
CCL22	462
CCL17	463
CTCF	464
NME3	465
AXIN1	466
TSC2	467
ABCC1	468
FOXF1	469
UBE2I	470
MEFV	471
RBL2	472
MAZ	473
ACSBG1	474
OCA2	475
TJP1	476
MYEF2	477
RIPK2	478
NBN	479
CALB1	480
SFRP1	481
IKBKB	482
PLAT	483
DKK4	484
GDAP1	485
NDRG1	486
IL7	487
TRPS1	488
GML	489
TNFRSF10A	490
MCM4	491
BNIP3L	492
KCNN4	493
NUCB1	494
NFKBIB	495
LHB	496
RELB	497
FCGRT	498
CKM	499
ERCC2	500
AMH	501
LYL1	502
RETN	503
FCER2	504
DMPK	505
LILRB1	506
ASF1B	507
CCNE1	508
URI1	509
PDCD5	510
AKT2	511
PIAS4	512
EBI3	513
SLC1A5	514
BBC3	515
TGFB1	516
CD79A	517
CD33	518
CEACAM5	519
CRX	520
TYK2	521
SULT2A1	522
ATP1A3	523
ZNF175	524
PLA2G4C	525
DBP	526
FGF21	527
KLF1	528
DNASE2	529
TFPT	530
SLC5A5	531
PIK3R2	532
RAB3A	533
ISYNA1	534
ELL	535
CRTC1	536
ETV2	537
HAMP	538
USF2	539
SUGP1	540
ERF	541
CDK6	542
NAMPT	543
PON2	544
HBP1	545
SP4	546
DLX5	547
PTN	548
CAV1	549
MET	550
WNT2	551
HOXA1	552
HOXA5	553
EVX1	554
NOD1	555
CASP2	556
HSPB1	557
PAX4	558
SERPINE1	559
NRF1	560
EZH2	561
MEOX2	562
AGR2	563
AHR	564
GLI3	565
PRKAG2	566
GCK	567
LHX2	568
TGFBR1	569
LHX6	570
ENG	571
KDM4C	572
CA9	573
TYRP1	574
CREB3	575
LHX3	576
BAG1	577
PTGDS	578
GATA3	579
CXCL12	580
MAPK8	581
ACTA2	582
TLX1	583
FGF8	584
PITX3	585
DKK1	586
EBF3	587
TFAM	588
UBE2S	589
KRT23	590
WNT3	591
KRT37	592
KPNB1	593
ENO3	594
CHRNE	595
BLMH	596
LGALS3BP	597
CCL2	598
KRT32	599
HSD17B1	600
MLX	601
DLX4	602
COL1A1	603
ALOX12	604
HDAC5	605
ABCC3	606
SMURF2	607
HLF	608
EFNB3	609
FOXN1	610
PHOX2B	611
SULT1E1	612
NMU	613
NFKB1	614
AREG	615
UBE2D3	616
MAPK10	617
ELF2	618
UCP1	619
IL2	620
KLF3	621
UGDH	622
PPARGC1A	623
CRYAB	624
HTATIP2	625
ZBTB16	626
HSPA8	627
ST3GAL4	628
CPT1A	629
CCND1	630
APOA5	631
APOC3	632
BIRC2	633
CBL	634
PDHX	635
SOX6	636
AIP	637
POU2AF1	638
VWF	639
CORO1C	640
IL23A	641
CYP27B1	642
KRT18	643
GLI1	644
METAP2	645
ELK3	646
WNT5B	647
FOXM1	648
CDKN1B	649
SCNN1A	650
LTBR	651
OAS3	652
OAS2	653
VDR	654
IFNG	655
GAPDH	656
CHD4	657
ING4	658
ENO2	659
PTPN6	660
SLCO1B3	661
NANOG	662
PRKAB1	663
PPARD	664
OPRM1	665
MAPK14	666
IL17A	667
IL17F	668
MCM3	669
CD83	670
BMP5	671
BACH2	672
FHL5	673
CCNC	674
E2F3	675
MED23	676
PERP	677
HECA	678
CCR6	679
SLC22A2	680
CCND3	681
TBP	682
SRF	683
VEGFA	684
TTK	685
SLC29A1	686
MEP1A	687
TBX18	688
GHR	689
HBEGF	690
LOX	691
SPARC	692
HMGCR	693
IL12B	694
CCNG1	695
DROSHA	696
CDH6	697
LNPEP	698
PRLR	699
IL4	700
IL5	701
PPP2CA	702
FGF1	703
NR3C1	704
TCERG1	705
SMAD5	706
CSNK1A1	707
PDGFRB	708
CDX1	709
ATP6V0E1	710
EHHADH	711
BCL6	712
CD86	713
OGG1	714
RNF7	715
TFDP2	716
KAT2B	717
WNT5A	718
HES1	719
GNAI2	720
HYAL1	721
CISH	722
MAPKAPK3	723
FOXP1	724
ADAM23	725
IL1A	726
CCL20	727
KCNIP3	728
STEAP3	729
TP53I3	730
POMC	731
GCG	732
TLX2	733
HTRA2	734
ACADL	735
FN1	736
STAT1	737
GLS	738
IGFBP5	739
OTX1	740
ST3GAL5	741
KDM3A	742
PRKAG3	743
SMYD1	744
IL1R1	745
WNT6	746
IL18R1	747
IL18RAP	748
FHL2	749
TPO	750
PROC	751
ID2	752
ODC1	753
CEBPZ	754
LCT	755
SDC1	756
SLC1A4	757
SOS1	758
ATF2	759
KISS1R	760
EPAS1	761
ARID3A	762
SUMO1	763
NFE2L2	764
MSH6	765
DHCR24	766
SCP2	767
RAP1A	768
HDAC1	769
SFPQ	770
MEF2D	771
MFN2	772
NCF2	773
PLA2G4A	774
GADD45A	775
PRDM2	776
RGS2	777
ZBTB17	778
CD58	779
CD2	780
TTF2	781
NR5A2	782
BMP8B	783
ETV3	784
ACADM	785
SDHB	786
RGS4	787
RBBP5	788
ECE1	789
ID3	790
CR2	791
CD46	792
APH1A	793
SLC2A1	794
EBNA1BP2	795
CDC20	796
MPL	797
PTCH2	798
PIK3R3	799
FAAH	800
DR1	801
F3	802
FASLG	803
TNFSF4	804
SERPINC1	805
STMN1	806
PROX1	807
CTSD	808
STK11	809
KMT2A	810
APOA1	811
ATF6	812
CREB1	813
CNR1	814
PLAGL1	815
TNFAIP3	816
MYB	817
SGK1	818
ARG1	819
FOXO3	820
TGIF2	821
ABCG2	822
SPP1	823
RARRES1	824
PPL	825
KLF12	826
CCND2	827
FGF23	828
SATB2	829
KLF9	830
SET	831
PTPA	832
NR4A3	833
CSF3R	834
ONECUT2	835
VSX2	836
PGF	837
TGFB3	838
ESRRB	839
DNMT3A	840
BCL11A	841
EPCAM	842
IDE	843
IFIT3	844
MXI1	845
HOXB8	846
CRHR1	847
HOXB1	848
DUSP1	849
MSX2	850
TEK	851
IFNA6	852
IFNA8	853
GRIA2	854
ACAT2	855
TP53AIP1	856
TAF12	857
TNFSF11	858
ELF1	859
SMAD9	860
HSPH1	861
ETF1	862
KDM3B	863
EGR1	864
TMPO	865
SOCS2	866
NFYB	867
APAF1	868
DUSP4	869
CLU	870
TNFRSF10B	871
NPPB	872
COPS5	873
TBX2	874
IAPP	875
LHX4	876
CD80	877
CRY2	878
CAT	879
FABP3	880
KHDRBS1	881
CCR2	882
TNFSF10	883
PIK3CA	884
CXCR4	885
POLK	886
FLT3	887
GTF3A	888
PAEP	889
