name	ids
IL32	0
DACH1	1
FGF23	2
EVX1	3
FOXP1	4
PAX3	5
MTF2	6
UPP1	7
GRIP1	8
SLC2A1	9
WNT1	10
RPRM	11
GLI3	12
HOXC13	13
CBL	14
LDHA	15
DNMT3A	16
PDE5A	17
PLIN4	18
HEY2	19
ACOX2	20
CYP2E1	21
CYP2D6	22
IFNA1	23
IL12A	24
FGFBP1	25
ALDOA	26
NCEH1	27
DROSHA	28
ONECUT1	29
LAMA1	30
PLK3	31
LNPEP	32
MEP1A	33
TRAF3IP2	34
PRKACB	35
ATP6V0E1	36
CXCR1	37
MYH7	38
AKR1C2	39
HMGB2	40
ABCA1	41
ANKRD1	42
SIM2	43
PON1	44
CREM	45
NR2F1	46
PTGS2	47
NPPB	48
WIF1	49
FGFR4	50
CDH6	51
SPI1	52
PPARA	53
PLIN1	54
MED1	55
CRH	56
PDCD4	57
PRKAG3	58
FCGRT	59
SLC20A1	60
IGF1R	61
ZNF350	62
TYK2	63
PSMB5	64
NR5A2	65
NOTCH2	66
EOMES	67
IFNA16	68
MCL1	69
ULK1	70
PBX1	71
RARRES1	72
CFB	73
CDO1	74
CPT2	75
MFN2	76
GCK	77
RXRB	78
CREG1	79
RHOC	80
EIF2AK2	81
BMP8A	82
ABCC1	83
STAT1	84
TSC2	85
POMC	86
HSPA1L	87
JMJD7-PLA2G4B	88
ATP2A3	89
AIRE	90
PHGDH	91
TNFAIP3	92
DUX4	93
ZFHX3	94
DACT1	95
ECE1	96
FOXL1	97
CYP8B1	98
ECM1	99
ERVW-1	100
RXRA	101
MMP11	102
TP53INP1	103
CREB3L3	104
BMP7	105
ATP1B3	106
EPB41L4B	107
BRCA2	108
MEF2B	109
KLF16	110
PAWR	111
LRP1	112
DDR2	113
ENO1	114
HMGCS2	115
PDK1	116
KLF4	117
KRT33B	118
PC	119
FOXG1	120
PROC	121
ILF3	122
PLAGL2	123
SMAD6	124
FABP5	125
S100A6	126
LIPE	127
WNT16	128
S100G	129
FABP7	130
ABCG2	131
SLC7A1	132
SIRT1	133
LPAR2	134
PTH	135
PIK3R3	136
TCF7L1	137
FHIT	138
VCAM1	139
GAD1	140
HOXA1	141
SIRT2	142
KIN	143
VDR	144
RELB	145
PLAG1	146
ENTPD3	147
TTK	148
MPO	149
CISH	150
TRPV5	151
TNFRSF17	152
ZNF268	153
FOXA3	154
PCK1	155
MACC1	156
PML	157
ABCB4	158
GCLC	159
P2RX4	160
WNT7A	161
EHMT1	162
FBP1	163
PITX1	164
H19	165
CYP7B1	166
HSPA5	167
CDC25B	168
TP63	169
GNAO1	170
TEAD4	171
TRRAP	172
CXCL9	173
HLA-F	174
ZNF148	175
PLK2	176
HES7	177
TEF	178
MACROD1	179
GNAI1	180
BMP8B	181
STIM1	182
IFI16	183
URI1	184
MSX2	185
HDAC2	186
ERBB3	187
RARB	188
SATB1	189
IRF8	190
KDM3A	191
SOX2	192
CRHR1	193
TBX18	194
FABP4	195
SUMO2	196
SERPINF1	197
MPL	198
BRD7	199
HDAC7	200
TH	201
ENO3	202
NPPC	203
CYP2A6	204
TOP2A	205
CCL4L2	206
LAMTOR5	207
ENTPD8	208
KRT36	209
LCT	210
SETDB1	211
TOB1	212
ERICD	213
ATP1A2	214
SLC25A27	215
ATP2A2	216
FXYD4	217
MTF1	218
SOX1	219
RBM38	220
PLA2G4C	221
SMAD3	222
PLA2G4A	223
NFATC4	224
SOCS6	225
CCL11	226
IL12RB2	227
ERP44	228
SRF	229
APOBEC3C	230
NRP1	231
FLT3	232
DDB1	233
ASF1B	234
CTCF	235
ERCC5	236
ACOX3	237
ADGRB1	238
WNT5B	239
MTHFR	240
TUBB3	241
TDRD1	242
CHEK1	243
KAT5	244
JAK2	245
IFNG	246
PVR	247
EBI3	248
XPA	249
PTCRA	250
CDC42	251
ZHX2	252
BTAF1	253
TRIM22	254
RAB3A	255
GABARAP	256
USP21	257
MAP1LC3B	258
ADH1A	259
USF1	260
F3	261
SLC22A2	262
HDAC11	263
THRA	264
ACTA1	265
JDP2	266
KRT4	267
CYP11A1	268
HOXB13	269
MLLT10	270
FMR1	271
HEPH	272
GRHL1	273
CDC6	274
SIK1	275
SFTPD	276
CD33	277
NOD2	278
ATP5F1A	279
DICER1	280
CHD8	281
IVL	282
CXCL14	283
ZFP42	284
GSC	285
HNRNPA2B1	286
ACRV1	287
NFIX	288
BAG1	289
RETN	290
GABPA	291
NFYB	292
FXR2	293
DACT3	294
JUP	295
CKM	296
OPRM1	297
CDKN1A	298
ALAS2	299
SLC2A4	300
