0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
CFH,1.67,10.93,8.35,91.87,24.36,11.74,47.9,4.9,26.68,10.56,33.53,31.19,0.09,0.0,0.22,0.0,0.0,0.0,0.79,0.01,0.0,0.0,2.99,0.0
GCLC,6.41,4.24,7.96,2.82,2.97,4.05,2.93,2.48,1.38,1.67,2.24,1.79,13.09,8.42,15.49,14.55,13.92,5.99,13.63,6.81,15.47,6.55,9.55,16.49
NFYA,4.97,3.21,11.72,3.61,5.33,2.14,3.07,0.95,1.28,2.82,2.18,3.23,6.6,6.85,1.74,0.29,7.85,5.02,6.26,5.13,4.1,8.64,2.42,3.89
CFTR,0.02,0.08,0.0,5.45,0.02,0.0,0.68,0.0,0.15,0.08,0.28,0.42,0.97,0.31,0.0,0.64,0.13,0.0,0.03,0.0,0.38,0.0,0.25,0.0
BAD,29.14,27.64,26.88,61.38,20.25,16.35,16.16,0.88,0.47,0.65,0.93,1.67,6.98,19.85,32.2,32.55,9.84,24.19,13.85,64.93,2.56,29.35,27.65,66.98
CD99,27.66,142.91,229.44,390.79,434.58,321.83,572.52,41.97,103.57,45.77,86.96,539.91,1.1,159.49,170.96,153.19,34.95,336.97,270.65,123.89,44.7,58.52,187.66,157.37
WNT16,0.0,0.0,0.06,0.0,0.02,0.18,0.06,0.02,0.07,0.1,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
MAD1L1,14.17,7.41,15.55,19.57,20.95,16.81,12.23,0.68,0.62,0.4,0.25,1.74,1.8,7.13,13.18,5.9,3.45,9.23,17.91,0.37,0.91,2.23,26.01,5.68
CFLAR,45.68,22.57,72.77,56.35,30.25,41.1,36.91,8.26,16.85,10.46,17.01,15.41,96.07,14.78,36.08,56.96,17.07,66.9,39.42,50.0,20.98,26.05,34.03,24.97
CD38,0.3,1.48,20.01,2.58,1.03,2.22,1.65,0.82,5.21,0.21,0.51,0.09,0.1,0.0,0.0,0.01,0.02,0.0,0.87,0.0,0.0,1.09,0.0,0.0
PDK4,1.88,11.18,0.22,33.68,0.53,4.26,1.29,0.6,6.61,0.31,20.45,2.85,1.84,0.43,39.33,6.8,0.3,3.74,0.71,0.44,5.42,0.02,0.59,0.01
CALCR,0.02,0.04,0.0,0.19,0.0,0.0,0.0,0.22,0.1,0.02,0.1,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOXA11,0.0,0.05,0.07,0.26,0.05,0.1,0.2,0.0,0.04,0.09,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.44,0.0,0.0
CREBBP,10.48,12.05,11.6,15.82,21.18,17.35,8.57,1.33,2.94,3.62,5.99,3.91,2.75,6.8,6.47,8.16,8.72,4.62,4.21,4.86,2.02,23.44,5.87,8.25
MPO,0.0,0.25,0.75,0.73,0.08,0.0,0.0,0.02,0.07,0.0,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
PON1,0.2,1.77,0.0,1.61,0.71,0.0,1.31,0.56,0.19,0.03,0.17,0.19,0.55,0.24,0.0,0.04,1.28,0.0,0.12,0.59,0.71,1.02,1.78,0.0
ABCB4,0.8,0.83,0.85,8.05,2.17,0.51,3.11,0.33,0.19,0.72,0.14,1.32,0.2,0.13,1.01,0.0,0.76,0.81,0.01,0.0,0.0,0.02,0.53,0.0
ITGAL,0.58,1.51,2.19,4.6,1.66,1.24,1.48,0.79,2.23,0.43,2.34,0.98,0.01,0.23,0.0,0.0,0.02,0.0,0.0,0.0,0.14,0.98,0.1,0.03
PDK2,11.39,12.2,11.74,13.21,11.62,11.36,7.27,2.01,1.77,1.34,3.86,4.63,0.9,2.21,3.89,6.09,0.35,15.29,0.46,8.67,1.78,2.53,14.48,2.17
ITGA2B,0.34,0.2,0.45,2.47,0.44,1.59,0.2,0.02,0.0,0.19,0.21,0.03,0.02,0.0,0.16,0.0,0.0,0.15,0.0,0.0,0.03,0.0,0.0,0.0
CRLF1,6.56,0.53,16.88,3.58,0.84,1.88,1.24,0.06,0.11,0.07,0.0,0.48,1.46,0.36,10.84,0.5,0.8,2.89,1.36,6.55,0.0,1.51,6.48,0.0
KRT33A,0.0,1.87,0.28,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,2.81,0.0,0.15,0.0,0.0,0.0
TAC1,0.0,0.14,3.37,37.23,0.0,0.94,0.08,0.13,0.32,0.0,0.68,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
TNFRSF12A,143.05,76.34,232.09,154.4,193.62,62.71,172.69,2.8,5.9,5.88,5.78,49.9,40.29,339.45,199.29,167.36,160.09,371.83,367.54,431.64,57.62,195.05,495.75,1023.36
ETV1,0.2,1.44,1.86,10.64,1.94,1.76,6.08,0.57,3.03,1.4,1.6,3.03,0.0,0.08,2.12,0.44,0.15,0.34,0.0,0.0,0.0,0.12,3.7,0.0
CCL26,0.84,1.44,4.0,3.67,0.89,0.72,4.38,0.31,1.43,1.71,1.73,1.83,0.0,0.24,0.82,0.0,0.0,0.0,0.81,0.0,0.5,0.0,6.15,0.0
DBF4,26.44,20.48,31.98,3.13,14.67,10.55,15.47,1.88,3.53,3.42,3.26,2.98,14.84,8.52,2.1,8.09,4.75,19.36,8.59,4.45,9.53,4.01,13.19,3.51
TBXA2R,0.04,0.23,0.45,3.04,0.12,0.27,0.51,0.1,0.38,0.0,0.1,0.21,0.0,0.7,0.0,0.11,0.52,0.66,0.06,0.35,0.0,0.0,0.0,0.0
ADIPOR2,24.3,9.45,21.53,16.01,6.76,33.02,7.18,4.49,4.27,2.27,3.65,3.33,21.69,6.95,11.77,5.84,9.27,9.67,13.95,7.48,14.7,8.36,12.62,3.72
NOS2,0.06,0.21,0.09,0.05,0.08,0.02,0.27,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.04,0.0
PAX6,4.53,0.03,3.99,2.62,0.55,0.0,9.36,0.0,0.32,0.26,0.0,0.0,0.53,0.17,0.15,0.0,0.17,0.65,6.48,0.08,0.18,0.0,0.0,1.39
TEAD3,9.38,3.19,7.72,7.24,4.2,1.78,4.42,0.37,0.54,0.79,1.48,1.87,0.88,3.88,6.78,2.03,1.38,1.21,4.19,1.29,0.83,3.68,6.38,4.25
SELE,0.02,0.9,0.35,8.38,0.1,1.26,0.27,0.25,7.01,1.4,3.07,0.78,5.79,0.13,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0
