0,1,2,3,4,5,6,7,8,9,10
CFH,14954.57,16012.22,21619.2,13882.45,13312.75,14884.69,15549.49,9265.7,8038.46,42769.14
GCLC,1152.0,1585.0,692.0,729.0,1084.0,2603.0,459.0,626.0,371.0,1053.13
NFYA,135.0,112.0,189.0,129.0,131.0,166.0,232.0,165.0,87.0,137.0
CFTR,52.0,42.0,381.0,196.0,132.0,0.0,990.0,6.0,857.0,0.0
BAD,305.0,475.0,419.8,517.92,429.0,1038.67,541.82,749.95,324.0,503.91
CD99,1180.0,1080.0,1912.0,1614.0,1320.0,3750.0,1695.0,2042.0,1175.0,4801.0
WNT16,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,7.0,0.0
MAD1L1,175.58,270.0,187.51,232.08,146.0,235.24,300.46,171.0,125.45,206.16
CFLAR,1352.8,1272.0,2062.63,2312.22,1652.09,1399.25,1826.51,1545.59,1962.47,881.2
CD38,34.0,54.0,96.0,165.0,83.0,14.0,182.0,349.0,120.0,70.0
PDK4,2127.0,2893.0,893.0,1567.0,1030.0,586.0,1339.0,561.0,1485.0,856.0
CALCR,0.0,0.0,0.0,2.0,1.0,30.0,0.0,2.0,0.0,5.0
HOXA11,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0
CREBBP,581.0,582.0,713.0,691.0,823.0,509.0,686.0,674.0,784.0,727.0
MPO,3.0,3.0,4.0,7.0,0.0,1.0,14.0,1.0,0.0,0.0
PON1,5096.0,6453.0,2044.0,4235.0,2062.0,1159.0,1273.0,1174.0,1350.0,5431.0
ABCB4,1387.0,1796.67,960.15,2467.51,1249.45,3487.7,2898.55,841.86,903.0,4752.85
ITGAL,276.0,145.0,659.0,1095.05,555.0,103.0,574.0,217.0,414.0,695.0
PDK2,471.32,691.5,449.38,427.69,510.12,1469.0,421.94,541.71,235.69,359.0
ITGA2B,1.0,6.0,2.0,5.0,7.0,21.0,6.0,4.0,5.0,9.0
CRLF1,20.5,0.0,18.48,21.0,13.45,4.8,33.16,45.68,37.8,16.41
KRT33A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAC1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TNFRSF12A,612.0,172.0,622.0,463.0,352.0,352.0,1098.0,486.0,1360.0,142.0
ETV1,69.0,36.0,40.0,61.0,51.0,88.0,46.0,180.0,57.0,132.0
CCL26,2.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0
DBF4,30.0,41.0,78.0,84.0,63.94,41.0,53.0,171.0,55.0,197.0
TBXA2R,38.0,56.0,85.0,150.0,85.0,13.0,140.0,54.0,104.0,9.0
ADIPOR2,961.0,1207.0,737.0,1503.0,1239.0,3707.0,1075.0,1203.0,547.0,757.0
NOS2,2.0,7.0,16.0,11.0,15.0,407.0,6.0,12.0,5.0,2.0
PAX6,0.0,0.0,0.7,3.0,3.0,19.07,0.0,24.19,3.0,0.0
TEAD3,191.0,128.0,223.0,239.0,242.0,410.0,333.0,283.0,370.0,283.0
SELE,65.0,20.0,35.0,1.0,14.0,24.0,56.0,12.0,8.0,5.0
NOX1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0
E2F2,4.0,2.0,26.0,18.0,4.0,7.0,14.0,126.0,3.0,38.0
SYN1,5.0,4.0,45.0,20.0,25.0,6.0,33.0,76.0,19.0,3.0
TFAP2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGST1,5210.0,9038.0,7957.0,9111.0,8690.0,9967.0,6705.0,6572.0,2823.0,14074.0
CRY1,82.0,63.0,48.0,64.0,42.0,119.0,46.0,54.0,59.0,52.0
NFIX,246.0,381.0,527.0,427.0,358.0,1331.0,453.0,403.0,365.0,600.0
ST3GAL1,1205.0,1469.0,3502.0,2266.0,1505.0,5013.0,1290.0,1363.0,940.0,2240.0
IL32,3794.0,440.0,13934.0,10576.0,3766.0,9044.0,9971.0,4276.0,6438.0,10880.0
MLXIPL,8259.0,8369.0,4705.0,7276.0,9341.0,6751.0,4629.0,3429.0,7234.0,5086.0
CD4,575.0,1210.0,811.0,1194.0,578.0,440.0,876.0,387.0,336.0,345.0
PTBP1,1464.0,1241.0,2226.0,2066.0,1612.0,2434.0,1912.0,2388.0,2087.0,3052.0
PLAUR,373.0,58.0,242.0,116.0,175.0,72.0,385.0,352.0,142.0,73.0
DCN,1571.0,1418.0,4670.0,5726.0,2721.0,249.0,7985.0,869.0,3242.0,235.0
BRCA1,27.0,120.0,59.0,65.0,75.0,115.0,65.0,329.0,17.0,206.0
ERCC1,323.15,348.02,539.77,653.04,411.59,957.75,573.33,642.62,564.79,1108.43
CD22,17.0,6.0,45.0,129.0,59.0,9.0,97.0,42.0,66.0,26.0
NR1H4,866.0,1132.0,856.0,1123.0,925.0,1581.0,749.0,687.0,366.0,588.0
ALOX5,64.0,10.0,127.0,148.0,80.0,16.0,116.0,55.0,123.0,26.0
MVP,402.0,265.0,1647.0,1608.0,832.0,2864.88,1305.0,888.0,1067.0,1431.0
RNF14,179.0,248.0,347.0,380.0,305.0,778.0,287.0,339.0,154.0,1096.0
ZMYND11,322.0,343.0,521.0,520.0,389.0,680.0,467.0,519.0,274.0,578.0
BID,253.0,276.0,809.0,504.0,379.0,742.0,385.0,767.0,209.0,1112.0
NPC1L1,1207.0,664.0,197.0,461.0,499.0,715.0,241.0,627.0,295.0,3.0
ISL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
ATP2C1,208.04,206.86,531.0,340.25,210.28,803.31,303.97,330.22,230.96,533.46
IGF1,1057.02,2569.78,200.54,971.66,1546.78,39.82,2331.84,1050.13,794.21,735.89
WWTR1,229.05,140.0,477.01,281.0,252.0,335.01,464.04,423.14,437.03,135.0
ATP1A2,14.0,0.0,15.0,5.0,10.0,6.0,16.0,12.0,22.0,0.0
CYP24A1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SNAI2,31.0,35.0,636.0,66.0,93.0,92.0,88.0,48.0,25.0,341.0
CD74,5448.29,2448.0,37232.86,37496.73,13788.86,4947.15,31867.78,8698.94,13846.95,17849.91
HGF,275.0,162.0,208.0,334.0,177.0,11.0,590.0,101.0,354.0,17.0
MNAT1,130.0,133.0,169.0,114.0,113.0,180.0,158.0,188.0,76.0,353.0
SAMD4A,366.0,402.0,206.0,255.0,292.0,187.0,254.0,107.0,298.0,105.0
RUNX3,87.0,40.0,266.0,280.0,269.0,43.0,312.0,116.0,264.0,204.0
SERPINB1,509.0,208.0,709.0,903.0,501.0,2621.0,723.0,690.0,843.0,418.0
SPAST,58.0,88.0,91.0,82.0,76.0,127.0,88.0,167.0,40.0,85.0
NLRP2,3.0,1.0,12.0,31.0,8.0,0.0,6.0,0.0,55.0,13.0
RB1CC1,1023.0,914.0,2665.0,1151.0,848.0,1115.0,871.0,1344.0,1047.0,1006.0
