name	ids
HES4	0
ISG15	1
SKI	2
HES5	3
TP73	4
HES3	5
ACOT7	6
HES2	7
PER3	8
ENO1	9
PIK3CD	10
CTNNBIP1	11
MTOR	12
MTHFR	13
NPPA	14
NPPB	15
MFN2	16
TNFRSF1B	17
PRDM2	18
CASP9	19
SPEN	20
ZBTB17	21
EPHA2	22
SDHB	23
PADI1	24
CDA	25
ECE1	26
ALPL	27
CDC42	28
WNT4	29
EPHB2	30
E2F2	31
ID3	32
PNRC2	33
RUNX3	34
STMN1	35
LIN28A	36
SFN	37
NR0B2	38
SLC9A1	39
WASF2	40
EYA3	41
PTAFR	42
SESN2	43
TAF12	44
MATN1	45
FABP3	46
KHDRBS1	47
LCK	48
HDAC1	49
MARCKSL1	50
SFPQ	51
CSF3R	52
MTF1	53
MYCBP	54
BMP8A	55
HEYL	56
BMP8B	57
NFYC	58
CTPS1	59
FOXO6	60
GUCA2B	61
YBX1	62
SLC2A1	63
EBNA1BP2	64
MPL	65
CDC20	66
ST3GAL3	67
KIF2C	68
PLK3	69
PTCH2	70
PIK3R3	71
POMGNT1	72
FAAH	73
CYP4A11	74
CYP4A22	75
TAL1	76
FAF1	77
CDKN2C	78
SCP2	79
CPT2	80
LRP8	81
DHCR24	82
PCSK9	83
PRKAA2	84
JUN	85
NFIA	86
FOXD3	87
IL23R	88
IL12RB2	89
SERBP1	90
GADD45A	91
DIRAS3	92
ACADM	93
DNAJB4	94
PTGFR	95
PRKACB	96
DNASE2B	97
CYR61	98
LMO4	99
GTF2B	100
TGFBR3	101
GFI1	102
MTF2	103
DR1	104
F3	105
VCAM1	106
S1PR1	107
COL11A1	108
GNAI3	109
GSTM4	110
GSTM2	111
GSTM1	112
GSTM5	113
GSTM3	114
CSF1	115
LAMTOR5	116
RAP1A	117
WNT2B	118
RHOC	119
NRAS	120
TSHB	121
NGF	122
NHLH2	123
ATP1A1	124
CD58	125
CD2	126
TTF2	127
HSD3B2	128
HSD3B1	129
PHGDH	130
HMGCS2	131
REG4	132
NOTCH2	133
TXNIP	134
PIAS3	135
PRKAB2	136
GJA5	137
FCGR1A	138
HIST2H4A	139
APH1A	140
ECM1	141
MCL1	142
CTSS	143
CTSK	144
ARNT	145
SETDB1	146
CERS2	147
RFX5	148
RORC	149
S100A10	150
S100A11	151
FLG	152
IVL	153
SPRR1B	154
SPRR2A	155
LOR	156
S100A9	157
S100A6	158
S100A4	159
S100A2	160
ILF2	161
CRTC2	162
CREB3L4	163
HAX1	164
IL6R	165
ADAR	166
CKS1B	167
MUC1	168
PKLR	169
BGLAP	170
MEF2D	171
NES	172
CRABP2	173
HDGF	174
NTRK1	175
ETV3	176
CD1D	177
IFI16	178
FCER1A	179
APCS	180
CRP	181
ATP1A2	182
ATP1A4	183
PEA15	184
USF1	185
USP21	186
APOA2	187
NR1I3	188
HSPA6	189
ATF6	190
DDR2	191
HSD17B7	192
RGS4	193
PBX1	194
RXRG	195
MGST3	196
GPA33	197
POU2F1	198
CD247	199
CREG1	200
ATP1B1	201
SELP	202
SELE	203
FMO4	204
DNM3	205
FASLG	206
TNFSF4	207
SERPINC1	208
COP1	209
ABL2	210
LHX4	211
RNASEL	212
NCF2	213
PTGS2	214
PLA2G4A	215
RGS2	216
CDC73	217
CFH	218
ASPM	219
NR5A2	220
CSRP1	221
ELF3	222
ADIPOR1	223
MYOG	224
ADORA1	225
CHI3L1	226
BTG2	227
REN	228
KISS1	229
RBBP5	230
ELK4	231
IKBKE	232
IL10	233
PIGR	234
C4BPB	235
CR2	236
CD46	237
CD34	238
G0S2	239
TRAF5	240
ATF3	241
PROX1	242
ESRRG	243
TGFB2	244
HLX	245
TAF1A	246
TP53BP2	247
LEFTY1	248
PARP1	249
WNT9A	250
WNT3A	251
ARF1	252
ACTA1	253
AGT	254
EGLN1	255
EXO1	256
ZMYND11	257
ADARB2	258
PFKP	259
KLF6	260
AKR1C2	261
AKR1C3	262
IL15RA	263
IL2RA	264
PFKFB3	265
PRKCQ	266
KIN	267
GATA3	268
OPTN	269
MCM10	270
VIM	271
MLLT10	272
BMI1	273
BAMBI	274
ZEB1	275
ITGB1	276
NRP1	277
CREM	278
RET	279
FXYD4	280
ZNF239	281
CXCL12	282
ALOX5	283
ANXA8	284
RBP3	285
MAPK8	286
PARG	287
NCOA4	288
DKK1	289
TFAM	290
CDK1	291
EGR2	292
SIRT1	293
HKDC1	294
HK1	295
NEUROG3	296
AIFM2	297
EIF4EBP2	298
PRF1	299
PCBD1	300
DDIT4	301
P4HA1	302
ECD	303
PLAU	304
SFTPD	305
PTEN	306
ACTA2	307
FAS	308
IFIT3	309
IFIT1B	310
IFIT1	311
ANKRD1	312
BTAF1	313
IDE	314
HHEX	315
CYP2C19	316
CYP2C9	317
CYP2C8	318
SORBS1	319
ENTPD1	320
PGAM1	321
LOXL4	322
HPSE2	323
ABCC2	324
CHUK	325
SCD	326
WNT8B	327
PAX2	328
TLX1	329
BTRC	330
FGF8	331
LDB1	332
NOLC1	333
PITX3	334
NFKB2	335
CYP17A1	336
GSTO1	337
GSTO2	338
MXI1	339
PDCD4	340
ACSL5	341
TCF7L2	342
CASP7	343
TDRD1	344
ENO4	345
EMX2	346
PRDX3	347
TIAL1	348
BAG3	349
ADAM12	350
DOCK1	351
MKI67	352
MGMT	353
EBF3	354
BNIP3	355
CYP2E1	356
IFITM5	357
IFITM3	358
PKP3	359
SIGIRR	360
HRAS	361
IRF7	362
DEAF1	363
PIDD1	364
PNPLA2	365
CD151	366
MUC6	367
MUC2	368
MUC5AC	369
CTSD	370
H19	371
IGF2	372
INS	373
TH	374
ASCL2	375
CDKN1C	376
STIM1	377
RRM1	378
HBD	379
HBG1	380
HBE1	381
TRIM5	382
TRIM22	383
SMPD1	384
APBB1	385
ILK	386
IPO7	387
ZNF143	388
WEE1	389
ADM	390
MRVI1	391
DKK3	392
TEAD1	393
ARNTL	394
PTH	395
RRAS2	396
SOX6	397
MYOD1	398
TPH1	399
SAA2	400
LDHA	401
