name	ids
CFH	0
GCLC	1
NFYA	2
CFTR	3
BAD	4
CD99	5
WNT16	6
MAD1L1	7
CFLAR	8
CD38	9
PDK4	10
CALCR	11
HOXA11	12
CREBBP	13
MPO	14
PON1	15
ABCB4	16
ITGAL	17
PDK2	18
ITGA2B	19
CRLF1	20
KRT33A	21
TAC1	22
TNFRSF12A	23
ETV1	24
CCL26	25
DBF4	26
TBXA2R	27
ADIPOR2	28
NOS2	29
PAX6	30
TEAD3	31
SELE	32
NOX1	33
E2F2	34
SYN1	35
TFAP2B	36
MGST1	37
CRY1	38
NFIX	39
ST3GAL1	40
IL32	41
MLXIPL	42
CD4	43
PTBP1	44
PLAUR	45
DCN	46
BRCA1	47
ERCC1	48
CD22	49
NR1H4	50
ALOX5	51
MVP	52
RNF14	53
ZMYND11	54
BID	55
NPC1L1	56
ISL1	57
ATP2C1	58
IGF1	59
WWTR1	60
ATP1A2	61
CYP24A1	62
SNAI2	63
CD74	64
HGF	65
MNAT1	66
SAMD4A	67
RUNX3	68
SERPINB1	69
SPAST	70
NLRP2	71
RB1CC1	72
ERP44	73
BIRC3	74
ABCC2	75
HSF2	76
HSD17B6	77
NR1H3	78
VIM	79
FAS	80
CD44	81
IFNGR1	82
TNFRSF1B	83
POU2F2	84
TBPL1	85
ARNTL2	86
IBSP	87
BAK1	88
PIAS1	89
GABARAPL2	90
DAPK2	91
TIMP2	92
OTC	93
CASR	94
FLT4	95
MAT2B	96
VCAN	97
MSR1	98
CDH1	99
TNC	100
AIFM2	101
TG	102
ZIC2	103
GUCA2B	104
HSPA5	105
MAP4	106
ROS1	107
HDAC9	108
RRM2B	109
TNFRSF17	110
LMO3	111
RSF1	112
PER3	113
LTBP1	114
NEDD4L	115
FOXP3	116
DKK3	117
MAPK9	118
BCAR1	119
RAD51	120
PIK3CB	121
LAMA3	122
ANAPC4	123
FOXC1	124
CYFIP2	125
EIF2AK2	126
TRAF1	127
TRAF3IP2	128
DCBLD2	129
PRDM1	130
ATG5	131
MTA3	132
DGKG	133
TBXAS1	134
MXD1	135
SLC2A3	136
CREB3L3	137
COL11A1	138
ACAA1	139
HDAC7	140
WNT8A	141
CDH3	142
VMP1	143
SPHK2	144
AHRR	145
CASP8	146
DLX3	147
NGFR	148
HIPK2	149
BORCS8-MEF2B	150
RFXANK	151
LPAR2	152
POU1F1	153
ZNF76	154
UHRF1BP1	155
GNAI3	156
MCM10	157
ERBB3	158
SPEN	159
MAP2K4	160
GSTO2	161
PRKCQ	162
ME1	163
YBX1	164
ELAVL1	165
NFYC	166
SLC9A3	167
ASPM	168
SPI1	169
ZNRD1	170
PFKP	171
SP100	172
KLF6	173
PKM	174
TP53BP1	175
RHOA	176
CBFB	177
HDAC4	178
RASSF1	179
FGFR3	180
MEF2A	181
ACSL4	182
POLR1A	183
SIRT2	184
PITX1	185
BCL3	186
MAOB	187
RORA	188
TGFBR3	189
HES2	190
ATP1B3	191
NEDD4	192
LRP6	193
POLB	194
ASNS	195
CDC42	196
ATP2B1	197
TCF3	198
TRIB2	199
HLTF	200
PDCD2	201
PRKACA	202
TFRC	203
SREBF1	204
NFATC3	205
MRVI1	206
PVR	207
XRCC1	208
SCARB1	209
MCM2	210
TP63	211
ABCB11	212
PTGS2	213
TBX21	214
GLI2	215
NOTCH3	216
TEAD2	217
TSG101	218
ATP2A3	219
SCARF1	220
ENO1	221
KCNQ2	222
GTSE1	223
ACAT1	224
WNT8B	225
FGF4	226
FOSL2	227
PLD1	228
PAX2	229
MCM6	230
MLH1	231
FMO4	232
SLC46A1	233
ACACB	234
TRAF4	235
ICAM3	236
MCAM	237
ARHGEF1	238
RARB	239
TOP2B	240
NFKB2	241
IL4R	242
SIRT6	243
TYR	244
FGFR1	245
MAP2	246
PIAS2	247
FAP	248
PIK3C3	249
HOXA9	250
EDN1	251
MLLT10	252
TP73	253
RUNX1T1	254
CDH17	255
XRCC5	256
LXN	257
CEACAM1	258
LIPE	259
DCT	260
RFX3	261
SESN1	262
SRCAP	263
PSEN1	264
HSP90AA1	265
RBL1	266
NDC80	267
CXCL2	268
AFP	269
COL4A4	270
TCF7	271
ARG2	272
MEF2C	273
IL12RB2	274
PGR	275
EPB41L3	276
TRAF5	277
NFE2L1	278
XPO1	279
KAT6A	280
GRHL2	281
CYLD	282
STARD7	283
REST	284
GSTP1	285
SLCO1A2	286
APOB	287
NCOA1	288
CD59	289
CD82	290
ATRX	291
MECOM	292
ABCB1	293
WNT11	294
MGST2	295
POMGNT1	296
B4GALT1	297
NFX1	298
EIF2AK1	299
HSD17B2	300
NOX4	301
ACOX3	302
ACHE	303
BAX	304
PSMC5	305
CETP	306
MMP2	307
GNAO1	308
PTHLH	309
TFAP2C	310
AURKA	311
GP6	312
KHSRP	313
DNMT3B	314
SLC15A1	315
PPP1R13B	316
MAVS	317
OAS1	318
RPLP0	319
PEBP1	320
TBX5	321
ERP29	322
NOS1	323
FUS	324
HEPH	325
BIRC5	326
SLC9A1	327
ICAM1	328
SI	329
TFAP4	330
ZNF268	331
NLRC4	332
NRCAM	333
LAMB1	334
SLC26A4	335
SLC26A3	336
ABCC6	337
ITGA6	338
TF	339
ESR1	340
ANGPT2	341
MYH7	342
CEBPE	343
PHGDH	344
EZR	345
TGFB2	346
KRT31	347
CDC6	348
MSH2	349
EPB41L4B	350
PTGS1	351
BTAF1	352
TDRD1	353
SORBS1	354
BAMBI	355
IL11	356
CREM	357
HSP90AB1	358
SIRT1	359
JAK2	360
IL12RB1	361
ABL1	362
ACOT7	363
SCD	364
NRP1	365
MZF1	366
CDC34	367
HCN2	368
GADD45B	369
MADCAM1	370
MMP11	371
SMARCB1	372
BCL2L13	373
GSTT2	374
OSM	375
CABIN1	376
MAPK1	377
PRODH	378
HIRA	379
LGALS1	380
SOX10	381
SLC5A1	382
CYP2D6	383
XBP1	384
TIMP3	385
HMOX1	386
MCAT	387
MCM5	388
APOBEC3H	389
CBX7	390
PDGFB	391
TXN2	392
IL2RB	393
EP300	394
HDAC10	395
SOS2	396
CDKN3	397
CHGA	398
HIF1A	399
SLC10A1	400
SLC8A3	401
DICER1	402
RPS6KA5	403
PSMB5	404
YY1	405
APEX1	406
CHD8	407
PCK2	408
NFKBIA	409
NFATC4	410
PLTP	411
MMP9	412
CD40	413
MYBL2	414
HNF4A	415
NFATC2	416
SALL4	417
PFDN4	418
BMP7	419
NELFCD	420
TCFL5	421
BIRC7	422
AVP	423
CDC25B	424
TRIB3	425
ANGPT4	426
PDYN	427
SAMHD1	428
JAG1	429
E2F1	430
MAP1LC3A	431
ZNF516	432
SMAD7	433
LAMA1	434
RBBP8	435
STS	436
ATP1B4	437
SRPX	438
XIAP	439
F9	440
SYP	441
ELF4	442
SMARCA1	443
RBBP7	444
FMR1	445
PIM2	446
RS1	447
PGK1	448
GATA1	449
BRS3	450
CD40LG	451
TIMP1	452
KLF8	453
SYTL4	454
TNFSF13B	455
KLF5	456
ACP5	457
DNAJC3	458
FLT1	459
TSC22D1	460
MSLN	461
HSF4	462
MAPK3	463
ELMO3	464
NFAT5	465
CCL22	466
CCL17	467
CTCF	468
NME3	469
AXIN1	470
TSC2	471
ABCC1	472
FOXF1	473
UBE2I	474
MEFV	475
RBL2	476
MAZ	477
ACSBG1	478
OCA2	479
TJP1	480
MYEF2	481
RIPK2	482
NBN	483
CALB1	484
SFRP1	485
IKBKB	486
PLAT	487
DKK4	488
GDAP1	489
NDRG1	490
IL7	491
TRPS1	492
GML	493
TNFRSF10A	494
MCM4	495
BNIP3L	496
KCNN4	497
NUCB1	498
NFKBIB	499
LHB	500
RELB	501
FCGRT	502
CKM	503
ERCC2	504
AMH	505
LYL1	506
RETN	507
FCER2	508
DMPK	509
LILRB1	510
ASF1B	511
CCNE1	512
URI1	513
PDCD5	514
AKT2	515
PIAS4	516
EBI3	517
SLC1A5	518
BBC3	519
TGFB1	520
CD79A	521
CD33	522
CEACAM5	523
CRX	524
TYK2	525
SULT2A1	526
ATP1A3	527
ZNF175	528
PLA2G4C	529
DBP	530
FGF21	531
KLF1	532
DNASE2	533
TFPT	534
SLC5A5	535
PIK3R2	536
RAB3A	537
ISYNA1	538
ELL	539
CRTC1	540
ETV2	541
HAMP	542
USF2	543
SUGP1	544
ERF	545
CDK6	546
NAMPT	547
PON2	548
HBP1	549
SP4	550
DLX5	551
PTN	552
CAV1	553
MET	554
WNT2	555
HOXA1	556
HOXA5	557
EVX1	558
NOD1	559
CASP2	560
HSPB1	561
PAX4	562
SERPINE1	563
NRF1	564
EZH2	565
MEOX2	566
AGR2	567
AHR	568
GLI3	569
PRKAG2	570
GCK	571
LHX2	572
TGFBR1	573
LHX6	574
ENG	575
KDM4C	576
CA9	577
TYRP1	578
CREB3	579
LHX3	580
DDX58	581
BAG1	582
PTGDS	583
GATA3	584
CXCL12	585
MAPK8	586
ACTA2	587
TLX1	588
FGF8	589
PITX3	590
DKK1	591
EBF3	592
TFAM	593
UBE2S	594
KRT23	595
WNT3	596
KRT37	597
KPNB1	598
ENO3	599
CHRNE	600
BLMH	601
LGALS3BP	602
CCL2	603
KRT32	604
HSD17B1	605
MLX	606
DLX4	607
COL1A1	608
ALOX12	609
HDAC5	610
ABCC3	611
SMURF2	612
HLF	613
EFNB3	614
FOXN1	615
PHOX2B	616
SULT1E1	617
NMU	618
NFKB1	619
AREG	620
UBE2D3	621
MAPK10	622
ELF2	623
UCP1	624
IL2	625
KLF3	626
UGDH	627
PPARGC1A	628
CRYAB	629
HTATIP2	630
ZBTB16	631
HSPA8	632
ST3GAL4	633
CPT1A	634
CCND1	635
APOA5	636
APOC3	637
BIRC2	638
CBL	639
PDHX	640
SOX6	641
AIP	642
POU2AF1	643
VWF	644
CORO1C	645
IL23A	646
CYP27B1	647
KRT18	648
GLI1	649
METAP2	650
ELK3	651
WNT5B	652
FOXM1	653
CDKN1B	654
SCNN1A	655
LTBR	656
OAS3	657
OAS2	658
VDR	659
IFNG	660
GAPDH	661
CHD4	662
ING4	663
ENO2	664
PTPN6	665
SLCO1B3	666
NANOG	667
PRKAB1	668
PPARD	669
OPRM1	670
MAPK14	671
SOD2	672
IL17A	673
IL17F	674
MCM3	675
CD83	676
BMP5	677
BACH2	678
FHL5	679
CCNC	680
E2F3	681
MED23	682
PERP	683
HECA	684
CCR6	685
SLC22A2	686
CCND3	687
TBP	688
SRF	689
VEGFA	690
TTK	691
SLC29A1	692
MEP1A	693
TBX18	694
GHR	695
HBEGF	696
LOX	697
SPARC	698
HMGCR	699
IL12B	700
CCNG1	701
DROSHA	702
CDH6	703
LNPEP	704
PRLR	705
IL4	706
IL5	707
PPP2CA	708
FGF1	709
NR3C1	710
TCERG1	711
SMAD5	712
CSNK1A1	713
PDGFRB	714
CDX1	715
ATP6V0E1	716
EHHADH	717
BCL6	718
CD86	719
OGG1	720
RNF7	721
TFDP2	722
KAT2B	723
WNT5A	724
HES1	725
GNAI2	726
HYAL1	727
CISH	728
MAPKAPK3	729
FOXP1	730
ADAM23	731
IL1A	732
CCL20	733
KCNIP3	734
STEAP3	735
TP53I3	736
POMC	737
GCG	738
TLX2	739
HTRA2	740
ACADL	741
FN1	742
STAT1	743
GLS	744
IGFBP5	745
OTX1	746
ST3GAL5	747
KDM3A	748
PRKAG3	749
SMYD1	750
IL1R1	751
WNT6	752
IL18R1	753
IL18RAP	754
FHL2	755
TPO	756
PROC	757
ID2	758
ODC1	759
CEBPZ	760
LCT	761
SDC1	762
SLC1A4	763
SOS1	764
ATF2	765
KISS1R	766
EPAS1	767
ARID3A	768
SUMO1	769
NFE2L2	770
MSH6	771
DHCR24	772
SCP2	773
RAP1A	774
HDAC1	775
SFPQ	776
MEF2D	777
MFN2	778
NCF2	779
PLA2G4A	780
GADD45A	781
PRDM2	782
RGS2	783
ZBTB17	784
CD58	785
CD2	786
TTF2	787
NR5A2	788
BMP8B	789
ETV3	790
ACADM	791
SDHB	792
RGS4	793
RBBP5	794
ECE1	795
ID3	796
CR2	797
CD46	798
APH1A	799
SLC2A1	800
EBNA1BP2	801
CDC20	802
MPL	803
PTCH2	804
PIK3R3	805
FAAH	806
DR1	807
F3	808
FASLG	809
TNFSF4	810
SERPINC1	811
STMN1	812
PROX1	813
CTSD	814
STK11	815
KMT2A	816
APOA1	817
ATF6	818
CREB1	819
CNR1	820
PLAGL1	821
TNFAIP3	822
MYB	823
SGK1	824
ARG1	825
FOXO3	826
TGIF2	827
ABCG2	828
SPP1	829
RARRES1	830
PPL	831
KLF12	832
CCND2	833
FGF23	834
SATB2	835
KLF9	836
SET	837
PTPA	838
NR4A3	839
CSF3R	840
ONECUT2	841
VSX2	842
PGF	843
TGFB3	844
ESRRB	845
DNMT3A	846
BCL11A	847
EPCAM	848
IDE	849
IFIT3	850
MXI1	851
HOXB8	852
CRHR1	853
HOXB1	854
DUSP1	855
MSX2	856
TEK	857
IFNA6	858
IFNA8	859
GRIA2	860
ACAT2	861
TP53AIP1	862
TAF12	863
TNFSF11	864
ELF1	865
SMAD9	866
HSPH1	867
ETF1	868
KDM3B	869
EGR1	870
TMPO	871
SOCS2	872
NFYB	873
APAF1	874
DUSP4	875
CLU	876
TNFRSF10B	877
NPPB	878
COPS5	879
TBX2	880
IAPP	881
LHX4	882
CD80	883
CRY2	884
CAT	885
FABP3	886
KHDRBS1	887
CCR2	888
